"STATECD","n_total","pct_clean","pct_nonforest","pct_harvested","pct_burned","pct_insect"
1,26994,46.347336445136,1.07801733718604,18.9004964066089,5.07520189671779,0.811291398088464
2,19191,23.1410557031942,9.27518107446199,0.401229743108749,0.359543536032515,1.6778698348184
4,28322,23.8719017018572,4.29348209872184,0.582585975566697,1.66301814843585,1.02393898735965
5,27600,41.9166666666667,1.51811594202899,10.5398550724638,1.2463768115942,0.271739130434783
6,38900,24.3598971722365,7.24935732647815,2.46529562982005,2.79691516709512,0.632390745501285
8,24978,31.6238289694932,4.78020658179198,0.684602450156137,0.916806789975178,5.15253423012251
9,2023,43.5491843796342,9.98517053880376,2.42214532871972,0,3.21304992585269
10,1559,22.193713919179,11.6100064143682,1.79602309172547,0,0.192431045542014
12,26826,31.3091776634608,4.18996495936778,7.04167598598375,5.66614478491016,0.249757697755908
13,30720,48.486328125,1.533203125,14.12109375,6.85221354166667,2.1484375
15,2354,20.7731520815633,11.4273576890399,0.212404418011895,0.38232795242141,0.594732370433305
16,18042,36.8639840372464,3.7135572552932,1.80689502272475,3.85212282452056,3.27569005653475
17,25679,11.2932746602282,3.16990537014681,0.899567740176798,0.089567350753534,0.650336851123486
18,21918,16.4567935030569,3.8005292453691,1.82042157131125,0.0684369011771147,2.95191167077288
19,26535,6.5536084416808,1.37554173732806,0.448464292443942,0.0716035424910496,0.602977199924628
20,37011,3.83939909756559,1.61843776174651,0.118883575153333,0.343141228283483,0.0729512847531815
21,18056,38.6076650420913,3.30638015064245,5.3555604785113,1.0910500664599,4.46942844483828
22,18356,26.9339725430377,3.05077358901722,14.1860971889301,2.92547395946829,0.141643059490085
23,17927,68.0035700340269,2.75004183633625,12.2217883639203,0.016734534501032,2.87276175601049
24,3993,27.5732531930879,12.396694214876,1.85324317555723,0.0250438266967193,0.525920360631104
25,3277,46.0176991150442,11.7180347879158,2.56332010985658,0,2.38022581629539
26,50116,44.4987628701413,7.74203847074787,4.22819059781307,0.119722244393008,2.81746348471546
27,90531,27.1774309352597,2.91391898907557,1.89106493908164,0.152433972893263,0.895825739249539
28,20874,44.8021462105969,2.76899492191243,15.7372808278241,4.58944141036696,0.469483568075117
29,35993,28.719473230906,5.01764231933987,3.03114494485039,1.15855860861834,0.697357819576029
30,31777,24.5082921609969,4.02492368694339,1.00072379393901,1.71507694244265,3.00531831198666
31,34784,2.39477920883165,0.896964121435143,0.189742410303588,0.0919963201471941,0.0431232750689972
32,23881,14.8988735815083,1.20597964909342,0.0753737280683388,0.619739541895231,0.481554373769943
33,4301,66.9379214136247,7.85863752615671,7.67263427109974,0,0.813764240874215
34,5274,30.773606370876,12.2487675388699,0.625711035267349,1.00492984452029,3.31816458096322
35,23634,25.7975797579758,8.56816450875857,0.482355927900482,1.04087331810104,1.54438520775154
36,19966,43.8795953120305,13.0622057497746,4.55273965741761,0.0250425723730342,3.05018531503556
37,27294,41.8700080603796,1.5571187806844,10.4052172638675,1.96380156811021,1.41789404264674
38,31802,1.68228413307339,0.383623671467203,0.009433368970505,0.0408779322055217,0.0974781460285517
39,17895,23.1126012852752,7.99664710813076,2.90583962000559,0.0558815311539536,6.24196702989662
40,16194,27.726318389527,2.83438310485365,3.09991354822774,3.73595158700753,0.228479683833519
41,35340,50.9734012450481,6.8421052631579,6.8081494057725,3.70967741935484,4.12280701754386
42,21693,44.5351034896049,10.5287419905038,4.99239385977043,0.0921956391462684,3.72470382150924
44,1003,31.5054835493519,16.7497507477567,1.49551345962114,0.0997008973080758,3.88833499501496
45,19179,47.4373012148704,0.844673862036602,14.8339329474947,4.17644298451431,0.589186088951457
46,34876,3.77336850556256,0.444431700883129,0.407156784034866,0.192109186833352,0.269526321825897
47,19776,44.164644012945,2.25525889967638,5.20327669902913,0.839401294498382,2.1288430420712
48,68013,28.1975504682928,13.9590960551659,3.84338288268419,1.23064708217547,0.122035493214533
49,21231,30.4884367198907,5.09161132306533,0.310866186237106,1.09274174556074,1.38476755687438
50,4328,61.1136783733826,7.41682070240296,5.10628465804067,0.0231053604436229,1.08595194085028
51,22666,51.2132709785582,1.22650666196065,6.29577340510015,0.573546280772964,2.88537898173476
53,23099,46.4695441361098,9.64543919650201,5.56301138577428,2.99580068401229,5.18204251266289
54,12694,59.6344729793603,16.0075626280132,3.24562785567985,0.283598550496297,7.70442728848275
55,54976,36.3795110593714,4.83301804423748,5.65701396973225,0.080034924330617,1.53885331781141
56,23820,14.9454240134341,3.08144416456759,1.56171284634761,2.90092359361881,1.47774979009236
