"AGENTCD","mean_tpa_mort","n_plots"
60,13.5985966254881,75878
30,13.516133072365,7280
40,11.5084691567764,4043
70,9.33567866854086,95660
20,5.35694983432549,60643
10,4.4564109926718,30365
50,4.44549018283582,45614
NA,4.24523404824561,205
