lat,lon,category,label
39.2488,-120.7360,disease,Disease damage to trees
41.8320,-78.0046,insects,Insect damage
30.2755,-92.2630,weather,Wind/hurricane/tornado
48.0151,-120.5830,insects,Insect damage to trees
40.3461,-84.8619,disease,Disease damage
36.8951,-90.6073,weather,Weather damage
36.7567,-90.3784,weather,Flooding
43.4101,-74.6584,disease,Disease damage to trees
31.2816,-95.1340,fire,Ground fire
45.5734,-93.6658,weather,Wind/hurricane/tornado
43.2851,-83.7562,insects,Insect damage
39.0957,-84.7000,disease,Disease damage
37.4698,-86.5963,insects,Insect damage to trees
46.5268,-114.4648,fire,Ground fire
43.6839,-104.0187,other,Human-induced
35.3273,-94.4933,weather,Flooding
37.0824,-93.3446,weather,Ice
45.0086,-119.4554,disease,Disease damage to trees
46.7306,-110.6671,insects,Insect damage to trees
44.9366,-118.7326,animal,Deer/ungulate
27.8221,-80.5655,weather,Wind/hurricane/tornado
44.0837,-91.2058,disease,Disease damage to trees
44.7960,-70.2471,weather,Flooding
40.0348,-81.2967,animal,Domestic animal/livestock
38.3404,-108.2918,animal,Deer/ungulate
40.7882,-111.5875,disease,Disease damage
38.2635,-83.3480,insects,Insect damage to trees
47.4109,-91.3903,animal,Deer/ungulate
34.8254,-83.6592,insects,Insect damage to trees
39.3116,-79.9594,animal,Domestic animal/livestock
44.7528,-88.5140,insects,Insect damage
47.9036,-90.3852,weather,Ice
36.9166,-96.2940,fire,Ground fire
48.6892,-117.3130,animal,Bear
33.4051,-84.7881,animal,Beaver
47.4680,-107.6612,fire,Crown fire
42.0724,-91.7836,weather,Wind/hurricane/tornado
48.5820,-114.8718,insects,Insect damage
30.9049,-90.2193,weather,Flooding
43.1004,-72.9460,disease,Disease damage to trees
40.4214,-74.8098,insects,Insect damage
44.2841,-70.9344,disease,Disease damage
29.4589,-81.7169,fire,Fire damage (general)
43.5456,-74.7917,disease,Disease damage to trees
43.8494,-86.2043,insects,Insect damage to trees
39.0473,-120.2338,other,Human-induced
46.1703,-114.7337,disease,Disease damage
40.7102,-95.8583,weather,Flooding
47.1170,-94.0363,weather,Weather damage
46.2577,-85.0534,weather,Flooding
37.2357,-80.9118,insects,Insect damage
32.2126,-82.8336,disease,Disease damage to trees
47.6573,-91.7070,insects,Insect damage
40.3783,-94.3078,other,Human-induced
30.6358,-94.3281,weather,Wind/hurricane/tornado
27.2423,-81.1046,fire,Ground fire
41.6541,-88.0361,insects,Insect damage to trees
39.0690,-109.7297,disease,Disease damage to trees
38.0345,-92.3129,animal,Domestic animal/livestock
34.0796,-80.6847,disease,Disease damage to trees
32.9370,-83.0750,insects,Insect damage to trees
43.6840,-96.8825,other,Human-induced
44.8441,-92.0576,disease,Disease damage to trees
