lat,lon,category,label
32.9708,-81.9065,disease,Root/butt diseases
37.1760,-93.1053,animal,Wild animals
40.8308,-78.2902,animal,Wild animals
45.4421,-116.4527,disease,Stem decay
41.8413,-77.9441,animal,Wild animals
39.7608,-78.4727,animal,Wild animals
41.2665,-73.5376,disease,Stem decay
44.7732,-114.5364,insects,Bark beetles
46.4556,-69.1837,disease,Foliage diseases
33.2960,-109.1761,disease,Decline complexes/dieback/wilts
39.2726,-110.6355,unknown,Unknown
31.5301,-93.9176,disease,Stem decay
37.7524,-82.2737,disease,Stem decay
34.1541,-90.8509,disease,Stem decay
44.8106,-84.6200,disease,Stem decay
40.7216,-107.3101,insects,General insects
36.1443,-78.4114,disease,Stem decay
36.9062,-91.4385,disease,Stem decay
39.5111,-86.9814,human,Human activities
30.8667,-83.3511,disease,Root/butt diseases
33.2732,-85.8297,disease,Stem decay
41.3446,-78.7343,disease,Stem decay
46.7331,-69.1809,disease,Stem decay
36.4464,-106.6691,unknown,Unknown
40.7216,-107.3101,disease,Cankers (non-rust)
46.4008,-86.9908,disease,Stem decay
30.6442,-89.0331,disease,Stem decay
44.8037,-91.5591,disease,Stem decay
46.2621,-69.5536,disease,Stem decay
37.4383,-82.8811,disease,Stem decay
29.8430,-90.4154,disease,Stem decay
47.2469,-94.6827,other,Other damages
33.9960,-109.5598,disease,Root/butt diseases
36.0140,-118.6384,disease,Stem decay
35.5343,-83.7282,disease,Stem decay
45.6781,-70.0824,animal,Wild animals
45.2094,-68.5377,insects,Sucking insects (adelgids/scales/aphids)
31.9324,-83.6092,canker/rust,Fusiform rust
42.2814,-73.9492,defoliators,Gypsy moth
34.0343,-89.0365,canker/rust,Fusiform rust
48.3707,-93.8317,disease,Stem decay
35.6822,-82.5241,disease,Stem decay
38.2546,-108.0519,disease,Cankers (non-rust)
33.4675,-92.0374,disease,Stem decay
32.9589,-89.5755,disease,Stem decay
45.2508,-119.0307,disease,Stem decay
45.4568,-93.4919,insects,Boring insects
30.0897,-99.6783,disease,Stem decay
30.8914,-94.4811,disease,Stem decay
45.6928,-89.6698,insects,Boring insects
34.4533,-92.2508,disease,Stem decay
41.7398,-123.2680,fire,Fire
41.2979,-76.2125,insects,Boring insects
38.9888,-75.4670,disease,Stem decay
47.7949,-93.1963,disease,Stem decay
38.2229,-91.7742,animal,Wild animals
45.5113,-110.1081,insects,Defoliators
47.0184,-92.2676,animal,Wild animals
33.5438,-88.9351,disease,Stem decay
34.4319,-79.5317,canker/rust,Fusiform rust
31.3810,-83.1149,canker/rust,Fusiform rust
37.1236,-81.0589,disease,Stem decay
32.8320,-82.5546,disease,Stem decay
30.3846,-91.3346,insects,Boring insects
47.6627,-112.7255,fire,Fire
42.0080,-124.1576,disease,Cankers (non-rust)
41.3395,-76.2096,disease,Stem decay
33.0885,-89.2162,human,Human activities
36.6637,-83.2269,disease,Stem decay
33.5327,-89.8823,disease,Stem decay
31.9046,-84.5663,disease,Stem decay
43.8563,-86.1280,defoliators,Gypsy moth
36.2637,-92.3336,disease,Root/butt diseases
38.4933,-82.9279,disease,Root/butt diseases
31.1983,-95.3437,disease,Stem decay
47.5062,-92.3540,disease,Stem decay
36.0980,-96.1542,disease,Stem decay
45.8638,-93.5087,disease,Stem decay
37.1527,-89.2503,disease,Cankers (non-rust)
36.8820,-90.8141,disease,Stem decay
38.7008,-107.3503,disease,Broom rusts
46.3246,-93.3940,disease,Stem decay
31.8502,-89.0473,disease,Stem decay
48.1688,-95.4004,other,Other damages
41.4418,-121.4766,insects,Bark beetles
44.0721,-73.6843,sucking insects,Beech scale
42.9990,-73.0843,disease,Stem decay
43.9645,-74.0015,disease,Stem decay
40.6866,-123.5518,fire,Fire
46.3012,-94.3732,other,Other damages
45.7945,-117.0183,disease,Stem decay
35.7751,-92.6235,disease,Stem decay
44.2775,-92.2166,disease,Cankers (non-rust)
45.8665,-86.5095,disease,Stem decay
45.5293,-92.4099,disease,Stem decay
31.9457,-84.4159,disease,Stem decay
44.5076,-71.3979,disease,Stem decay
44.7410,-91.4481,animal,Wild animals
45.1431,-68.2535,disease,Stem decay
38.2711,-81.2791,disease,Stem decay
44.5044,-92.4153,disease,Stem decay
48.3867,-95.7491,fire,Fire
34.7382,-84.1591,disease,Stem decay
31.0657,-99.7578,disease,Stem decay
46.7388,-92.2075,disease,Stem decay
36.6375,-94.5886,fire,Fire
41.3495,-74.5744,defoliators,Gypsy moth
44.7181,-71.9691,other,Other damages
39.1927,-90.9274,animal,Wild animals
32.6632,-91.9635,canker/rust,Fusiform rust
47.3761,-95.1732,animal,Wild animals
35.0292,-83.2449,disease,Stem decay
47.2583,-95.4507,disease,Stem decay
43.4877,-86.1103,disease,Stem decay
35.5405,-82.3480,disease,Stem decay
45.8617,-67.9771,disease,Stem decay
35.6099,-87.8227,abiotic,Abiotic damage
46.0636,-89.7373,other,Other damages
33.0029,-80.5155,disease,Stem decay
43.7774,-74.8061,disease,Stem decay
46.6242,-121.2425,insects,Sucking insects (adelgids/scales/aphids)
36.4920,-90.7293,disease,Stem decay
41.5116,-76.1685,disease,Stem decay
31.5022,-89.0649,disease,Stem decay
36.3457,-79.3714,disease,Stem decay
39.0093,-86.5172,boring insects,Emerald ash borer
39.6770,-89.5217,disease,Stem decay
40.1537,-82.7052,disease,Cankers (non-rust)
41.1165,-114.2650,disease,Stem decay
33.4215,-92.2365,disease,Stem decay
44.9998,-72.7372,disease,Stem decay
34.5878,-93.4674,fire,Fire
48.7109,-117.7165,other,Other damages
48.0528,-94.5730,insects,Boring insects
30.0690,-82.2928,disease,Stem decay
46.9662,-92.8095,animal,Wild animals
36.3710,-95.0246,disease,Stem decay
41.7910,-73.7833,disease,Stem decay
33.6083,-91.7399,disease,Stem decay
47.1269,-92.0960,disease,Stem decay
35.1433,-83.6136,disease,Stem decay
37.9851,-106.4126,disease,Cankers (non-rust)
42.8576,-98.8506,disease,Stem decay
31.7603,-90.5559,canker/rust,Fusiform rust
39.2938,-108.5506,disease,Stem decay
43.2695,-90.1334,insects,Boring insects
39.9910,-106.0333,disease,Decline complexes/dieback/wilts
45.7502,-92.8840,other,Other damages
35.6002,-76.8324,canker/rust,Fusiform rust
45.9193,-68.7750,disease,Stem decay
39.0906,-79.3907,disease,Stem decay
43.6712,-72.6920,canker/rust,Beech bark disease
38.3839,-86.6455,boring insects,Emerald ash borer
43.7152,-91.3896,disease,Stem decay
38.1155,-80.8992,disease,Stem decay
33.8317,-85.3152,canker/rust,Fusiform rust
30.9055,-88.2548,disease,Root/butt diseases
39.8534,-108.2579,disease,Stem decay
31.3614,-95.4090,disease,Stem decay
33.7919,-89.6743,disease,Stem decay
45.1356,-83.6997,disease,Stem decay
41.6540,-77.8215,canker/rust,Beech bark disease
36.6066,-84.2553,disease,Stem decay
26.5772,-81.7339,disease,Stem decay
42.3806,-78.0530,disease,Stem decay
43.1268,-74.3404,canker/rust,Beech bark disease
41.9891,-78.7668,insects,Boring insects
38.9361,-92.4771,disease,Stem decay
46.6529,-94.6176,disease,Stem decay
37.5158,-79.6181,animal,Wild animals
48.2393,-92.4191,other,Other damages
44.6715,-67.6538,disease,Stem decay
38.4878,-92.6931,disease,Cankers (non-rust)
46.9247,-69.4255,animal,Wild animals
45.4862,-117.7094,root/butt disease,Armillaria root disease
36.5424,-93.1722,insects,Boring insects
30.1879,-91.3554,disease,Stem decay
46.1456,-90.6186,other,Other damages
41.3663,-76.4160,disease,Stem decay
30.4862,-90.3057,disease,Stem decay
44.5124,-73.1330,disease,Stem decay
39.1300,-85.6718,disease,Stem decay
47.9714,-124.0559,disease,Cankers (non-rust)
42.1234,-77.6184,disease,Stem decay
