lat,lon,status
46.0665,-69.3184,Clean
45.4788,-121.9134,Clean
31.4297,-87.4356,Clean
42.2484,-72.1910,Clean
31.4021,-95.8590,Clean
47.8493,-120.6955,Excluded
35.2536,-83.2920,Clean
45.2004,-83.4172,Clean
35.8160,-109.2879,Clean
46.4953,-93.0433,Clean
46.3943,-93.8594,Clean
46.0267,-86.4798,Clean
34.5481,-94.4746,Clean
30.6936,-82.5302,Clean
45.9449,-69.2953,Clean
45.9884,-90.1024,Clean
36.6672,-118.2268,Clean
42.1724,-72.2167,Clean
42.6102,-108.7480,Clean
37.3793,-112.7184,Clean
48.8485,-121.7742,Excluded
46.8999,-88.0387,Clean
45.5240,-90.8626,Clean
32.4985,-93.0404,Excluded
29.3128,-98.3533,Clean
33.7665,-80.0607,Clean
44.1297,-104.0593,Excluded
48.7163,-113.9983,Clean
37.3904,-80.9386,Clean
44.6797,-73.1448,Clean
45.0612,-88.6056,Excluded
43.5946,-120.9993,Clean
47.7995,-95.6357,Clean
39.0112,-120.7425,Clean
39.8904,-120.9698,Clean
45.4367,-117.7105,Clean
47.7732,-93.3523,Clean
46.0072,-90.9799,Clean
39.9435,-78.4449,Clean
47.0723,-123.4435,Excluded
39.5182,-82.3887,Excluded
34.5944,-92.4806,Clean
45.4847,-69.3631,Clean
33.6016,-81.6872,Excluded
46.0248,-86.7636,Clean
46.0795,-92.4412,Excluded
48.1810,-120.1275,Clean
46.4342,-84.4300,Clean
32.9637,-80.2143,Clean
47.9723,-93.8929,Clean
30.3154,-84.1565,Excluded
48.1500,-92.2539,Excluded
46.0511,-83.6165,Clean
32.9568,-82.5116,Excluded
35.7142,-92.5377,Clean
43.5688,-115.7674,Clean
30.8844,-97.8965,Clean
48.3444,-94.7645,Clean
48.7413,-94.9964,Clean
40.1904,-106.7016,Clean
38.7298,-79.8174,Clean
35.1073,-93.7790,Clean
35.3219,-77.3121,Clean
31.4938,-84.4854,Clean
44.2810,-83.8417,Clean
33.2868,-93.1122,Clean
44.5928,-84.7962,Clean
46.2107,-91.0021,Clean
34.7316,-81.0991,Excluded
34.9903,-111.8989,Clean
37.6786,-91.4270,Excluded
40.9656,-110.5210,Clean
30.6429,-89.2364,Clean
38.0173,-90.1800,Clean
33.3492,-80.5275,Clean
43.5574,-71.1862,Clean
47.2518,-95.0309,Clean
33.4412,-82.8595,Clean
38.6017,-75.2347,Clean
37.5847,-112.6316,Clean
35.2080,-93.6826,Clean
47.1260,-68.5152,Clean
30.2189,-85.0025,Clean
33.7649,-79.1669,Clean
46.3766,-107.9851,Excluded
31.7857,-91.2173,Clean
39.1473,-81.9111,Clean
35.6361,-85.2948,Clean
42.2083,-73.6181,Clean
37.7503,-80.9834,Clean
37.2888,-81.4767,Clean
36.0903,-87.0820,Clean
38.6443,-75.2467,Clean
31.4091,-83.2024,Clean
46.2586,-93.0603,Clean
27.5173,-80.3629,Clean
40.7290,-77.9558,Excluded
38.2540,-109.2859,Clean
45.4192,-90.1568,Clean
31.2420,-94.4759,Clean
43.1197,-121.4138,Clean
37.7509,-119.5198,Clean
39.0490,-83.3991,Clean
30.0438,-81.3780,Excluded
46.8959,-93.6037,Clean
46.1201,-115.6133,Clean
46.2397,-121.3060,Clean
34.0214,-78.2896,Clean
47.4001,-123.6511,Clean
47.3836,-93.3765,Clean
40.3208,-93.7341,Clean
36.1971,-91.3162,Clean
45.9732,-94.9662,Clean
44.9077,-70.1878,Clean
32.6412,-87.1852,Excluded
33.8003,-82.2767,Excluded
36.6751,-76.1284,Clean
37.0866,-92.2353,Excluded
