model_id,group,group_label,response,term,estimate,std_error,statistic,p_value,conf_low,conf_high
saplings__temperature,saplings,Saplings,temperature,(Intercept),-0.0349703403593402,0.0134661392981212,-2.59690915006495,0.0094094088684828,-0.0613641215293669,-0.00857655918931354
saplings__temperature,saplings,Saplings,temperature,fire_cumulative_mortality_pct,0.000580602386230818,0.000876267182632366,0.662586021408047,0.507598751722362,-0.00113689093185043,0.00229809570431206
saplings__temperature,saplings,Saplings,temperature,insect_cumulative_mortality_pct,0.00188231740470491,0.00081103091549186,2.3208947633807,0.0202964890275702,0.000292687887906058,0.00347194692150377
saplings__temperature,saplings,Saplings,temperature,disease_cumulative_mortality_pct,0.00151282339705714,0.000834155482948028,1.81359881698625,0.0697454507612966,-0.000122130526357261,0.00314777732047154
saplings__temperature,saplings,Saplings,temperature,cumulative_site_CWD_mm,-5.44127770638318e-06,1.01387566128389e-06,-5.36680967318299,8.04941652030106e-08,-7.42848515650042e-06,-3.45407025626594e-06
saplings__temperature,saplings,Saplings,temperature,full_survey_period_years,0.00640100085832225,0.00108178415958934,5.91707763658893,3.29820602296638e-09,0.00428069200444118,0.00852130971220332
trees__temperature,trees,Adults,temperature,(Intercept),-0.0548259735239317,0.00729187871722108,-7.51877199965632,5.59144211577134e-14,-0.0691180270330815,-0.0405339200147819
trees__temperature,trees,Adults,temperature,fire_cumulative_mortality_pct,0.00101794170851307,0.000288668013259854,3.52634050796871,0.000421599662390457,0.000452153541720569,0.00158372987530558
trees__temperature,trees,Adults,temperature,insect_cumulative_mortality_pct,0.00169258965956545,0.00040109080152962,4.21996628471784,2.44629698765853e-05,0.000906453271428468,0.00247872604770243
trees__temperature,trees,Adults,temperature,disease_cumulative_mortality_pct,0.000259678623795445,0.000384035169685915,0.676184485936079,0.498925635233448,-0.000493028793236064,0.00101238604082695
trees__temperature,trees,Adults,temperature,cumulative_site_CWD_mm,-1.50687485531963e-06,6.05228035123225e-07,-2.48976380450192,0.0127849799183044,-2.69311941569476e-06,-3.20630294944491e-07
trees__temperature,trees,Adults,temperature,full_survey_period_years,0.00772037929302748,0.000612827506319447,12.5979647020007,2.36138082818946e-36,0.00651923979909823,0.00892151878695672
community__temperature,community,Combined saplings + adults,temperature,(Intercept),-0.043983379253654,0.00868953631168329,-5.06164859389761,4.16606491614764e-07,-0.0610148266036168,-0.0269519319036911
community__temperature,community,Combined saplings + adults,temperature,fire_cumulative_mortality_pct,0.00109770671099183,0.000360170390186027,3.04774279313985,0.00230645714067315,0.000391774562550116,0.00180363885943355
community__temperature,community,Combined saplings + adults,temperature,insect_cumulative_mortality_pct,0.00192291766759486,0.000445126491691678,4.31993535205448,1.56271082366183e-05,0.00105047198863183,0.0027953633465579
community__temperature,community,Combined saplings + adults,temperature,disease_cumulative_mortality_pct,0.00172191450191647,0.000468129034742977,3.67829033048949,0.000234963189978396,0.000804383954573668,0.00263944504925928
community__temperature,community,Combined saplings + adults,temperature,cumulative_site_CWD_mm,-1.99453851571493e-06,6.69079608019801e-07,-2.98101824029272,0.00287381931961703,-3.30593117329571e-06,-6.8314585813415e-07
community__temperature,community,Combined saplings + adults,temperature,full_survey_period_years,0.00674350326420263,0.00069295169090335,9.73156332934497,2.27872014901395e-22,0.00538532144455592,0.00810168508384933
saplings__precipitation,saplings,Saplings,precipitation,(Intercept),3.03498806761075,0.900067504807472,3.37195604929649,0.000746923761286025,1.27084585623063,4.79913027899087
saplings__precipitation,saplings,Saplings,precipitation,fire_cumulative_mortality_pct,0.107349212416676,0.0850980293907275,1.26147706574711,0.207142849672374,-0.0594438613823396,0.274142286215692
saplings__precipitation,saplings,Saplings,precipitation,insect_cumulative_mortality_pct,-0.120310414972578,0.052381736708973,-2.29680080370395,0.0216342115029385,-0.222979195191974,-0.0176416347531815
saplings__precipitation,saplings,Saplings,precipitation,disease_cumulative_mortality_pct,0.0560538285390311,0.0551883376208931,1.01568249661882,0.309785475905629,-0.0521159203441271,0.164223577422189
saplings__precipitation,saplings,Saplings,precipitation,cumulative_site_CWD_mm,-0.000506491306373245,6.76263120674114e-05,-7.48955977176994,7.02286807245847e-14,-0.000639039622006087,-0.000373942990740403
saplings__precipitation,saplings,Saplings,precipitation,full_survey_period_years,0.234735238108647,0.0604912156213732,3.8804847232349,0.000104380894913145,0.116171790005732,0.353298686211562
trees__precipitation,trees,Adults,precipitation,(Intercept),0.297266368835085,0.474530885516785,0.626442615028839,0.531026598257904,-0.632812294093463,1.22734503176363
trees__precipitation,trees,Adults,precipitation,fire_cumulative_mortality_pct,-0.163829133607981,0.0287206280038205,-5.70423228859021,1.17312872581948e-08,-0.220121451152646,-0.107536816063317
trees__precipitation,trees,Adults,precipitation,insect_cumulative_mortality_pct,-0.0330059640686823,0.0203451301946186,-1.62230291735427,0.10474276576798,-0.0728823389602989,0.00687041082293436
