species_key,SPCD,scientific_name,common_name,n_condition_rows,treecount_total,treecount_calc_total,seedlings_tpa,cwm_weight_total
fia_spcd:90,90,Picea spp.,spruce spp.,4,19,19,1424.340365,1424.340365
fia_spcd:8420,8420,Pyrus spp.,pear spp.,10,19,19,1424.340364,1424.340364
fia_spcd:550,550,Gleditsia spp.,honeylocust spp.,4,18,18,1349.375083,1349.375083
fia_spcd:7754,7754,Melicope spp.,melicope,11,18,18,1349.37508,1349.37508
fia_spcd:6718,6718,Coprosma longifolia,Oahu mirrorplant,9,18,18,1349.375079,1349.375079
fia_spcd:600,600,Juglans spp.,walnut spp.,1,17,17,1274.409802,1274.409802
fia_spcd:7846,7846,Morella faya,firetree,6,17,17,1274.409799,1274.409799
fia_spcd:7927,7927,Myrsine spp.,colicwood,2,16,16,1199.444519,1199.444519
fia_spcd:929,929,Salix x sepulcralis,weeping willow,7,15,15,1124.479235,1124.479235
fia_spcd:6075,6075,Aleurites moluccana,Indian walnut,7,15,15,1124.479234,1124.479234
fia_spcd:424,424,Castanea mollissima,Chinese chestnut,10,15,15,1124.479233,1124.479233
fia_spcd:7412,7412,Hibiscus tiliaceus,sea hibiscus,4,14,14,1049.513954,1049.513954
fia_spcd:7709,7709,Melaleuca spp.,melaleuca,2,14,14,1049.513954,1049.513954
fia_spcd:370,370,Betula spp.,birch spp.,6,13,13,974.54867,974.54867
fia_spcd:6720,6720,Coprosma ochracea,Maui mirrorplant,3,13,13,974.54867,974.54867
fia_spcd:330,330,Aesculus spp.,"buckeye, horsechestnut spp.",10,14,14,899.583388,899.583388
fia_spcd:8892,8892,Wikstroemia oahuensis,Oahu false ohelo,6,12,12,899.583387,899.583387
fia_spcd:6139,6139,Antidesma platyphyllum,ha a,10,12,12,899.583386,899.583386
fia_spcd:8223,8223,Pithecellobium unguis-cati,catclaw blackbead,2,11,11,824.618107,824.618107
fia_spcd:6549,6549,Cibotium spp.,manfern,1,11,11,824.618106,824.618106
fia_spcd:7621,7621,Macaranga mappa,pengua,4,11,11,824.618106,824.618106
fia_spcd:7346,7346,Hedyotis terminalis,variable starviolet,7,11,11,824.618104,824.618104
fia_spcd:510,510,Eucalyptus spp.,eucalyptus spp.,1,10,10,749.652825,749.652825
fia_spcd:6003,6003,Acacia auriculiformis,auri,2,10,10,749.652824,749.652824
fia_spcd:7769,7769,Melochia umbellata,hierba del soldado,6,10,10,749.652822,749.652822
fia_spcd:8612,8612,Sideroxylon celastrinum,saffron plum,1,9,9,674.687542,674.687542
fia_spcd:8706,8706,Syzygium sandwicense,ohia ha,3,9,9,674.687542,674.687542
fia_spcd:8856,8856,Urera glabra,hopue,2,9,9,674.687542,674.687542
fia_spcd:8812,8812,Toona ciliata,Australian redcedar,3,9,9,674.687541,674.687541
fia_spcd:8891,8891,Wikstroemia monticola,montane false ohelo,3,9,9,674.687541,674.687541
fia_spcd:7273,7273,Grevillea robusta,silkoak,6,9,9,674.68754,674.68754
fia_spcd:991,991,Tamarix spp.,saltcedar,5,9,9,674.68754,674.68754
fia_spcd:7883,7883,Myoporum sandwicense,naio,6,9,9,674.687539,674.687539
fia_spcd:8365,8365,Psychotria fauriei,Koolau Range wild coffee,2,8,8,599.722259,599.722259
fia_spcd:7344,7344,Hedyotis hillebrandii,manono,5,8,8,599.722258,599.722258
fia_spcd:729,729,Platanus spp.,sycamore spp.,1,7,7,524.756977,524.756977
fia_spcd:8085,8085,Pandanus tectorius,Tahitian screwpine,2,7,7,524.756977,524.756977
fia_spcd:8708,8708,Syzygium spp.,syzygium,1,7,7,524.756977,524.756977
fia_spcd:8755,8755,Terminalia kaernbachii,tropical almond,1,7,7,524.756977,524.756977
fia_spcd:8895,8895,Wikstroemia phillyreifolia,Hawaii false ohelo,2,7,7,524.756977,524.756977
fia_spcd:8899,8899,Wikstroemia spp.,false ohelo,3,7,7,524.756977,524.756977
fia_spcd:7144,7144,Falcataria moluccana,peacocksplume,5,7,7,524.756975,524.756975
fia_spcd:6058,6058,Albizia falcataria,ukall ra ngebard,1,6,6,449.791695,449.791695
fia_spcd:6159,6159,Archontophoenix alexandrae,Alexandra palm,2,6,6,449.791695,449.791695
fia_spcd:7729,7729,Melicope hawaiensis,mokihana kukae moa,2,6,6,449.791695,449.791695
fia_spcd:8212,8212,Pisonia brunoniana,Australasian catchbirdtree,1,6,6,449.791695,449.791695
fia_spcd:7805,7805,Miconia calvescens,velvet tree,2,6,6,449.791694,449.791694
fia_spcd:8944,8944,Zanthoxylum clava-herculis,Hercules' club,5,6,6,449.791693,449.791693
fia_spcd:137,137,Pinus washoensis,Washoe pine,4,5,5,374.826411,374.826411
fia_spcd:450,450,Catalpa spp.,catalpa spp.,6,6,6,374.82641,374.82641
fia_spcd:8675,8675,Stewartia koreana,stewartia,1,4,4,299.86113,299.86113
fia_spcd:8238,8238,Pittosporum spp.,cheesewood,2,4,4,299.861129,299.861129
fia_spcd:583,583,Halesia parviflora,little silverbell,1,3,3,224.895847,224.895847
fia_spcd:6716,6716,Coprosma foliosa,forest mirrorplant,2,3,3,224.895847,224.895847
fia_spcd:7742,7742,Melicope ovata,eggshape melicope,1,3,3,224.895847,224.895847
fia_spcd:7751,7751,Melicope rotundifolia,roundleaf melicope,1,3,3,224.895847,224.895847
fia_spcd:7753,7753,Melicope sandwicensis,Mt. Kaala melicope,1,3,3,224.895847,224.895847
fia_spcd:8205,8205,Pipturus albidus,Waimea pipturus,2,3,3,224.895847,224.895847
