metric,value
n_polygons,4214
min_area_km2,-2234960.97638442
p01_area_km2,99.999994471455
median_area_km2,2259622.06183743
p99_area_km2,18887919.855854
max_area_km2,29856515.4671043
n_nonpositive_area,18
