species_key
fia_spcd:6010
fia_spcd:6111
fia_spcd:6898
fia_spcd:7034
fia_spcd:7144
fia_spcd:7805
fia_spcd:7978
fia_spcd:8085
p2veg:ACME80
p2veg:ALCU5
p2veg:ARGR6
p2veg:BLAP
p2veg:BOFL3
p2veg:DEPE6
p2veg:DILI
p2veg:ERPA7
p2veg:EUDE2
p2veg:FAMO
p2veg:FIDE2
p2veg:HEBA5
p2veg:HODA2
p2veg:JUBE2
p2veg:MICA20
p2veg:MOHI
p2veg:NEWI2
p2veg:OEHE5
p2veg:PATE2
p2veg:PATA6
p2veg:POPU5
p2veg:PSLU6
p2veg:PTGL
p2veg:RUEL3
p2veg:SEMA15
p2veg:SPDI8
