species_key,source_code_system,source_species_code,scientific_name,common_name,original_bien_query_name,manual_bien_override_name,bien_query_name,override_decision,override_confidence,override_review_status,bien_range_available,range_lookup_status,range_review_reason
fia_spcd:42,fia_spcd,42,Chamaecyparis nootkatensis,Alaska yellow-cedar,Chamaecyparis_nootkatensis,Callitropsis nootkatensis,Callitropsis_nootkatensis,use_accepted_name,high,ready_for_pipeline,TRUE,available,
fia_spcd:832,fia_spcd,832,Quercus prinus,chestnut oak,Quercus_prinus,Quercus montana,Quercus_montana,use_alternative_name,medium,ready_for_pipeline,TRUE,available,
