species_key,source_code_system,source_species_code,scientific_name,common_name,genus,specific_epithet,community_layers,growth_habits,original_bien_query_name,bien_query_scientific_name,bien_query_name,niche_taxon_name,niche_taxon_key,uses_manual_bien_override,manual_bien_override_name,override_decision,override_confidence,override_review_status,bien_range_available,range_lookup_status,range_match_status,needs_range_review,range_review_reason,range_lookup_error,source_tables,states_present,n_states,n_plot_visits,n_conditions,n_source_rows,abundance_total,in_seedlings,in_saplings,in_trees,in_shrubs,in_forbs,in_graminoids,in_p2veg_tree_layers,is_pseudo_taxon,has_scientific_name,needs_niche,source_scientific_name,recommended_bien_name,override_notes
fia_spcd:6159,fia_spcd,6159,Archontophoenix alexandrae,Alexandra palm,Archontophoenix,alexandrae,seedling;tree,tree,Archontophoenix_alexandrae,Archontophoenix alexandrae,Archontophoenix_alexandrae,Archontophoenix alexandrae,bien_taxon:archontophoenix_alexandrae,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,7,7,8,483.962134791846,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6243,fia_spcd,6243,Bobea elatior,ahakea lau nui,Bobea,elatior,sapling;tree,tree,Bobea_elatior,Bobea elatior,Bobea_elatior,Bobea elatior,bien_taxon:bobea_elatior,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,TREE,HI,1,4,4,5,162.73426294282,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6244,fia_spcd,6244,Bobea sandwicensis,Hawaii dogweed,Bobea,sandwicensis,sapling;seedling;tree,tree,Bobea_sandwicensis,Bobea sandwicensis,Bobea_sandwicensis,Bobea sandwicensis,bien_taxon:bobea_sandwicensis,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,5,5,5,454.836499397271,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6260,fia_spcd,6260,Broussaisia arguta,kanawao,Broussaisia,arguta,sapling;seedling;tree,tree,Broussaisia_arguta,Broussaisia arguta,Broussaisia_arguta,Broussaisia arguta,bien_taxon:broussaisia_arguta,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,36,36,100,22717.4427576653,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6286,fia_spcd,6286,Buddleja asiatica,dogtail,Buddleja,asiatica,seedling,tree,Buddleja_asiatica,Buddleja asiatica,Buddleja_asiatica,Buddleja asiatica,bien_taxon:buddleja_asiatica,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING,HI,1,1,1,1,74.965282,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:413,fia_spcd,413,Carya carolinae-septentrionalis,southern shagbark hickory,Carya,carolinae-septentrionalis,sapling;seedling;tree,tree,Carya_carolinae-septentrionalis,Carya carolinae-septentrionalis,Carya_carolinae-septentrionalis,Carya carolinae-septentrionalis,bien_taxon:carya_carolinae_septentrionalis,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,AL;GA;LA;MS;SC;VA,6,46,47,65,3869.98686690814,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:412,fia_spcd,412,Carya ovalis,red hickory,Carya,ovalis,sapling;seedling;tree,tree,Carya_ovalis,Carya ovalis,Carya_ovalis,Carya ovalis,bien_taxon:carya_ovalis,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,AL;AR;GA;IN;LA;MO;MS;NC;NY;PA;SC;TN;VA;WV,14,294,300,404,15375.0787135035,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:424,fia_spcd,424,Castanea mollissima,Chinese chestnut,Castanea,mollissima,sapling;seedling;tree,tree,Castanea_mollissima,Castanea mollissima,Castanea_mollissima,Castanea mollissima,bien_taxon:castanea_mollissima,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,AL;GA;KY;MD;MS;NC;OH;PA;SC;TN;VA,11,30,31,38,2347.28328233668,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:423,fia_spcd,423,Castanea pumila var. ozarkensis,Ozark chinkapin,Castanea,pumila,sapling;seedling;tree,tree,Castanea_pumila_var._ozarkensis,Castanea pumila var. ozarkensis,Castanea_pumila_var._ozarkensis,Castanea pumila var. ozarkensis,bien_taxon:castanea_pumila_var_ozarkensis,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,AR;MO;OK,3,121,122,136,11734.2456461403,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:857,fia_spcd,857,Casuarina lepidophloia,belah,Casuarina,lepidophloia,sapling;seedling;tree,tree,Casuarina_lepidophloia,Casuarina lepidophloia,Casuarina_lepidophloia,Casuarina lepidophloia,bien_taxon:casuarina_lepidophloia,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,FL,1,5,5,5,334.121830454777,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:463,fia_spcd,463,Celtis laevigata var. reticulata,netleaf hackberry,Celtis,laevigata,sapling;seedling;tree,tree,Celtis_laevigata_var._reticulata,Celtis laevigata var. reticulata,Celtis_laevigata_var._reticulata,Celtis laevigata var. reticulata,bien_taxon:celtis_laevigata_var_reticulata,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,AR;GA;KS;LA;OK;OR;TN;TX,8,866,901,1557,263469.067241483,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6483,fia_spcd,6483,Chamaesyce celastroides,ekoko,Chamaesyce,celastroides,seedling,tree,Chamaesyce_celastroides,Chamaesyce celastroides,Chamaesyce_celastroides,Chamaesyce celastroides,bien_taxon:chamaesyce_celastroides,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING,HI,1,2,2,2,2024.062626,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6504,fia_spcd,6504,Charpentiera tomentosa,Waianae Range papala,Charpentiera,tomentosa,sapling;seedling;tree,tree,Charpentiera_tomentosa,Charpentiera tomentosa,Charpentiera_tomentosa,Charpentiera tomentosa,bien_taxon:charpentiera_tomentosa,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,1,1,4,228.025136797761,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6509,fia_spcd,6509,Cheirodendron forbesii,olapa,Cheirodendron,forbesii,sapling,tree,Cheirodendron_forbesii,Cheirodendron forbesii,Cheirodendron_forbesii,Cheirodendron forbesii,bien_taxon:cheirodendron_forbesii,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,TREE,HI,1,2,2,2,599.722256,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6510,fia_spcd,6510,Cheirodendron platyphyllum,lapalapa,Cheirodendron,platyphyllum,tree,tree,Cheirodendron_platyphyllum,Cheirodendron platyphyllum,Cheirodendron_platyphyllum,Cheirodendron platyphyllum,bien_taxon:cheirodendron_platyphyllum,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,TREE,HI,1,1,1,1,1.84658951145384,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6514,fia_spcd,6514,Cheirodendron trigynum,olapalapa,Cheirodendron,trigynum,sapling;seedling;tree,tree,Cheirodendron_trigynum,Cheirodendron trigynum,Cheirodendron_trigynum,Cheirodendron trigynum,bien_taxon:cheirodendron_trigynum,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,123,123,407,46790.7411290282,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6517,fia_spcd,6517,Chenopodium oahuense,alaweo,Chenopodium,oahuense,sapling;tree,tree,Chenopodium_oahuense,Chenopodium oahuense,Chenopodium_oahuense,Chenopodium oahuense,bien_taxon:chenopodium_oahuense,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,TREE,HI,1,3,3,3,80.0448801655278,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:431,fia_spcd,431,Chrysolepis chrysophylla var. chrysophylla,"giant chinkapin, golden chinkapin",Chrysolepis,chrysophylla,sapling;seedling;tree,tree,Chrysolepis_chrysophylla_var._chrysophylla,Chrysolepis chrysophylla var. chrysophylla,Chrysolepis_chrysophylla_var._chrysophylla,Chrysolepis chrysophylla var. chrysophylla,bien_taxon:chrysolepis_chrysophylla_var_chrysophylla,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,CA;OR;WA,3,1885,1978,3800,866755.940106021,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6546,fia_spcd,6546,Cibotium chamissoi,Chamissos manfern,Cibotium,chamissoi,seedling;tree,tree,Cibotium_chamissoi,Cibotium chamissoi,Cibotium_chamissoi,Cibotium chamissoi,bien_taxon:cibotium_chamissoi,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,18,18,40,2071.59226432423,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
