species_key,source_species_code,scientific_name,common_name,gap_stage,gap_reason,cwm_missing_n_condition_rows,cwm_missing_weight_total,range_lookup_status,range_match_status,range_review_reason
fia_spcd:7922,7922,Myrsine lessertiana,kolea lau nui,no_bien_range_map,BIEN did not report a range map for the query binomial,41,10195.278398,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:412,412,Carya ovalis,red hickory,no_bien_range_map,BIEN did not report a range map for the query binomial,62,10045.347827,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7453,7453,Ilex anomala,Hawaii holly,no_bien_range_map,BIEN did not report a range map for the query binomial,46,9745.486701,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:970,970,Ulmus spp.,elm spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",31,8171.215776,,,
fia_spcd:8641,8641,Sophora chrysophylla,mamani,no_bien_range_map,BIEN did not report a range map for the query binomial,18,7121.701825,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:800,800,Quercus spp.,oak spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",28,6671.910133,,,
fia_spcd:680,680,Morus spp.,mulberry spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",44,6222.118429,,,
fia_spcd:520,520,Diospyros spp.,persimmon spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",28,5622.396176,,,
fia_spcd:8131,8131,Perrottetia sandwicensis,olomea,no_bien_range_map,BIEN did not report a range map for the query binomial,8,5022.673921,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:310,310,Acer spp.,maple spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",9,4722.812793,,,
fia_spcd:6006,6006,Acacia koa,koa,no_bien_range_map,BIEN did not report a range map for the query binomial,23,4497.916941,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:460,460,Celtis spp.,hackberry spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",27,4422.951657,,,
fia_spcd:740,740,Populus spp.,cottonwood and poplar spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",21,3823.229398,,,
fia_spcd:650,650,Magnolia spp.,magnolia spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",36,3748.264115,,,
fia_spcd:8344,8344,Prosopis pallida,kiawe,no_bien_range_map,BIEN did not report a range map for the query binomial,9,3448.40299,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:513,513,Eucalyptus grandis,grand eucalyptus,no_bien_range_map,BIEN did not report a range map for the query binomial,9,3298.472425,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:6724,6724,Coprosma spp.,mirrorplant,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",12,3223.507141,,,
fia_spcd:913,913,Thrinax morrisii,key thatch palm,no_bien_range_map,BIEN did not report a range map for the query binomial,4,2773.71545,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:6721,6721,Coprosma pubens,pubescent mirrorplant,no_bien_range_map,BIEN did not report a range map for the query binomial,15,2548.819597,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:720,720,Persea spp.,bay spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",6,2398.889037,,,
fia_spcd:950,950,Tilia spp.,basswood spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",12,2398.889033,,,
fia_spcd:413,413,Carya carolinae-septentrionalis,southern shagbark hickory,no_bien_range_map,BIEN did not report a range map for the query binomial,14,2099.027904,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:6483,6483,Chamaesyce celastroides,ekoko,no_bien_range_map,BIEN did not report a range map for the query binomial,2,2024.062626,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8400,8400,Psychotria spp.,wild coffee,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",4,2024.062625,,,
