species_key,source_species_code,scientific_name,common_name,gap_stage,gap_reason,cwm_missing_n_condition_rows,cwm_missing_weight_total,range_lookup_status,range_match_status,range_review_reason
fia_spcd:6396,6396,Carica spp.,papaya,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,74.965282,,,
fia_spcd:6866,6866,Cyrtandra spp.,cyrtandra,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,74.965282,,,
fia_spcd:690,690,Nyssa spp.,tupelo spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,74.965282,,,
fia_spcd:7188,7188,Flindersia brayleyana,Queensland maple,no_bien_range_map,BIEN did not report a range map for the query binomial,1,74.965282,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7343,7343,Hedyotis fosbergii,Fosbergs starviolet,no_bien_range_map,BIEN did not report a range map for the query binomial,1,74.965282,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7561,7561,Leptospermum scoparium,broom teatree,no_bien_range_map,BIEN did not report a range map for the query binomial,1,74.965282,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7725,7725,Melicope cruciata,piloula,no_bien_range_map,BIEN did not report a range map for the query binomial,1,74.965282,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7853,7853,Morinda trimera,noni kuahiwi,no_bien_range_map,BIEN did not report a range map for the query binomial,1,74.965282,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7960,7960,Nestegis sandwicensis,Hawaii olive,no_bien_range_map,BIEN did not report a range map for the query binomial,1,74.965282,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8357,8357,Prunus x yedoensis,Yoshino flowering cherry,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,74.965282,,,
fia_spcd:8429,8429,Quercus austrina,bastard white oak,no_bien_range_map,BIEN did not report a range map for the query binomial,1,74.965282,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8435,8435,Rauvolfia spp.,devils-pepper,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,74.965282,,,
fia_spcd:8526,8526,Santalum spp.,sandalwood,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,74.965282,,,
fia_spcd:8555,8555,Schaefferia spp.,schaefferia,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,74.965282,,,
fia_spcd:8598,8598,Senna spp.,senna,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,74.965282,,,
fia_spcd:8609,8609,Sida fallax,yellow llima,no_bien_range_map,BIEN did not report a range map for the query binomial,1,74.965282,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8897,8897,Wikstroemia sandwicensis,variableleaf false ohelo,no_bien_range_map,BIEN did not report a range map for the query binomial,1,74.965282,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8908,8908,Xylosma hawaiiensis,Hawaii brushholly,no_bien_range_map,BIEN did not report a range map for the query binomial,1,74.965282,no_range,missing_range,BIEN did not report a range map for the query binomial
