species_key,source_code_system,source_species_code,scientific_name,common_name,community_layers,growth_habits,n_states,n_plot_visits,n_conditions,abundance_total,source_tables,is_pseudo_taxon,needs_niche,bien_query_name,bien_range_available,range_lookup_status,range_match_status,needs_range_review,range_review_reason,range_lookup_error,has_global_niche,has_study_area_niche,in_cwm_missing_species,cwm_missing_n_condition_rows,cwm_missing_treecount_total,cwm_missing_seedlings_tpa,cwm_missing_weight_total,gap_stage,gap_reason,study_area_range_failure_stage,study_area_range_failure_reason,study_area_niche_missing_indicators
fia_spcd:6007,fia_spcd,6007,Acacia koaia,koaoha,sapling;tree,tree,1,3,3,57.165610515017,TREE,FALSE,TRUE,Acacia_koaia,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,FALSE,,,,,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6058,fia_spcd,6058,Albizia falcataria,ukall ra ngebard,seedling,tree,1,1,1,6,SEEDLING,FALSE,TRUE,Albizia_falcataria,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,1,6,449.791695,449.791695,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6075,fia_spcd,6075,Aleurites moluccana,Indian walnut,sapling;seedling;tree,tree,1,23,23,195.111695261322,SEEDLING;TREE,FALSE,TRUE,Aleurites_moluccana,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,7,15,1124.479234,1124.479234,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6089,fia_spcd,6089,Alphitonia ponderosa,Hawaii kauilatree,tree,tree,1,1,1,3.17852343208656,TREE,FALSE,TRUE,Alphitonia_ponderosa,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,FALSE,,,,,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6139,fia_spcd,6139,Antidesma platyphyllum,ha a,sapling;seedling;tree,tree,1,24,24,63.8025503382343,SEEDLING;TREE,FALSE,TRUE,Antidesma_platyphyllum,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,10,12,899.583386,899.583386,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6143,fia_spcd,6143,Antidesma pulvinatum,hame,sapling;seedling,tree,1,3,3,4.11142953149308,SEEDLING;TREE,FALSE,TRUE,Antidesma_pulvinatum,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,1,1,74.965282,74.965282,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6159,fia_spcd,6159,Archontophoenix alexandrae,Alexandra palm,seedling;tree,tree,1,7,7,40.1704397918459,SEEDLING;TREE,FALSE,TRUE,Archontophoenix_alexandrae,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,2,6,449.791695,449.791695,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6243,fia_spcd,6243,Bobea elatior,ahakea lau nui,sapling;tree,tree,1,4,4,22.636797527893,TREE,FALSE,TRUE,Bobea_elatior,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,FALSE,,,,,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6244,fia_spcd,6244,Bobea sandwicensis,Hawaii dogweed,sapling;seedling;tree,tree,1,5,5,16.0111204085248,SEEDLING;TREE,FALSE,TRUE,Bobea_sandwicensis,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,1,2,149.930565,149.930565,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6260,fia_spcd,6260,Broussaisia arguta,kanawao,sapling;seedling;tree,tree,1,36,36,304.313898234555,SEEDLING;TREE,FALSE,TRUE,Broussaisia_arguta,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,34,222,16642.292692,16642.292692,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6286,fia_spcd,6286,Buddleja asiatica,dogtail,seedling,tree,1,1,1,1,SEEDLING,FALSE,TRUE,Buddleja_asiatica,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,1,1,74.965282,74.965282,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6483,fia_spcd,6483,Chamaesyce celastroides,ekoko,seedling,tree,1,2,2,27,SEEDLING,FALSE,TRUE,Chamaesyce_celastroides,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,2,27,2024.062626,2024.062626,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6504,fia_spcd,6504,Charpentiera tomentosa,Waianae Range papala,sapling;seedling;tree,tree,1,1,1,8.33475727830008,SEEDLING;TREE,FALSE,TRUE,Charpentiera_tomentosa,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,1,2,149.930565,149.930565,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6509,fia_spcd,6509,Cheirodendron forbesii,olapa,sapling,tree,1,2,2,15.7206919166766,TREE,FALSE,TRUE,Cheirodendron_forbesii,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,FALSE,,,,,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6510,fia_spcd,6510,Cheirodendron platyphyllum,lapalapa,tree,tree,1,1,1,1.84658951145384,TREE,FALSE,TRUE,Cheirodendron_platyphyllum,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,FALSE,,,,,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6514,fia_spcd,6514,Cheirodendron trigynum,olapalapa,sapling;seedling;tree,tree,1,123,123,1273.77093279076,SEEDLING;TREE,FALSE,TRUE,Cheirodendron_trigynum,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,78,441,33059.689537,33059.689537,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6517,fia_spcd,6517,Chenopodium oahuense,alaweo,sapling;tree,tree,1,3,3,8.06019228965196,TREE,FALSE,TRUE,Chenopodium_oahuense,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,FALSE,,,,,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6546,fia_spcd,6546,Cibotium chamissoi,Chamissos manfern,seedling;tree,tree,1,18,18,148.494923324232,SEEDLING;TREE,FALSE,TRUE,Cibotium_chamissoi,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,9,26,1949.097341,1949.097341,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6547,fia_spcd,6547,Cibotium glaucum,hapuu,sapling;seedling;tree,tree,1,180,185,7664.75374938649,SEEDLING;TREE,FALSE,TRUE,Cibotium_glaucum,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,152,1143,85685.317794,85685.317794,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6548,fia_spcd,6548,Cibotium menziesii,hapuu li,sapling;seedling;tree,tree,1,128,133,2725.23594207247,SEEDLING;TREE,FALSE,TRUE,Cibotium_menziesii,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,81,307,23014.341677,23014.341677,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
