"indicator","n_species","n_missing","value_min","value_p10","value_median","value_p90","value_max"
"tmean_annual_mean",4188,0,-10.0199264231247,3.78509763741102,9.90186517555452,16.5809937468751,25.5797654552129
"tmean_warmest_month_mean",4188,0,9.62118914368848,16.3883600642109,20.859803554563,26.4272779150404,33.3687715298886
"tmean_coldest_month_mean",4188,0,-27.1413273247186,-9.37551544181727,-0.479226512605606,7.5541790869346,23.666346989721
"temp_seasonality_mean",4188,0,3.39793876651983,15.8618591990428,21.4534564111607,27.327080420394,38.9297911463423
"cwd_annual_sum",4188,0,28.2676041619509,195.787028530936,588.350732790051,1162.43745370656,2038.37131036812
"cwd_max_month_mean",4188,0,10.9630660026696,46.6056182527439,125.708363561717,187.75886714134,297.668493752111
"pr_annual_sum",4188,0,105.616987504222,356.473945195905,664.033094463014,1137.50912254321,2618.41906433645
"pr_driest_month_mean",4188,0,0.217775942747041,7.83621041567263,29.6212230550852,65.5474221132286,113.248719125564
