species_key,source_code_system,source_species_code,scientific_name,common_name,community_layers,n_states,n_plot_visits,n_conditions,abundance_total,bien_query_name,range_lookup_status,range_review_reason
p2veg:ARNU,nrcs_plants_symbol,ARNU,Arabis nuttallii,Nuttall's rockcress,forb,4,19,19,267,Arabis_nuttallii,missing,No BIEN range returned
p2veg:ERNAS2,nrcs_plants_symbol,ERNAS2,Ericameria nauseosa ssp. nauseosa var. speciosa,rubber rabbitbrush,shrub,7,29,30,265.895464,Ericameria_nauseosa_ssp._nauseosa_var._speciosa,missing,No BIEN range returned
p2veg:CADE15,nrcs_plants_symbol,CADE15,Caesalpinia decapetala,shoofly,shrub,1,4,4,263,Caesalpinia_decapetala,missing,No BIEN range returned
p2veg:SYFOP,nrcs_plants_symbol,SYFOP,Symphyotrichum foliaceum var. parryi,Parry's aster,forb,3,22,23,262.567236,Symphyotrichum_foliaceum_var._parryi,missing,No BIEN range returned
p2veg:ELTRS,nrcs_plants_symbol,ELTRS,Elymus trachycaulus ssp. subsecundus,slender wheatgrass,graminoid,4,12,12,262,Elymus_trachycaulus_ssp._subsecundus,missing,No BIEN range returned
p2veg:VIDEL2,nrcs_plants_symbol,VIDEL2,Viguiera dentata var. lancifolia,toothleaf goldeneye,forb,1,6,6,262,Viguiera_dentata_var._lancifolia,missing,No BIEN range returned
p2veg:SAME6,nrcs_plants_symbol,SAME6,Sanguisorba menziesii,Menzies' burnet,forb,1,20,21,258.56707,Sanguisorba_menziesii,missing,No BIEN range returned
p2veg:HEMUM,nrcs_plants_symbol,HEMUM,Heliomeris multiflora var. multiflora,showy goldeneye,forb,5,15,17,255,Heliomeris_multiflora_var._multiflora,missing,No BIEN range returned
p2veg:AGRI2,nrcs_plants_symbol,AGRI2,Ageratina riparia,spreading snakeroot,forb;shrub,1,5,5,254,Ageratina_riparia,missing,No BIEN range returned
p2veg:SOSCC,nrcs_plants_symbol,SOSCC,Sorbus scopulina var. cascadensis,Cascade mountain ash,shrub,2,7,8,253.779442,Sorbus_scopulina_var._cascadensis,missing,No BIEN range returned
fia_spcd:6911,fia_spcd,6911,Diospyros sandwicensis,lama,seedling;tree,1,8,8,250.990000417009,Diospyros_sandwicensis,missing,No BIEN range returned
p2veg:ACRO7,nrcs_plants_symbol,ACRO7,Achnatherum robustum,sleepygrass,graminoid,2,11,11,250.682772,Achnatherum_robustum,missing,No BIEN range returned
p2veg:FEBRB,nrcs_plants_symbol,FEBRB,Festuca brachyphylla ssp. brachyphylla,alpine fescue,graminoid,2,4,4,250,Festuca_brachyphylla_ssp._brachyphylla,missing,No BIEN range returned
p2veg:LOIN4,nrcs_plants_symbol,LOIN4,Lonicera interrupta,chaparral honeysuckle,shrub,3,22,25,248.475447,Lonicera_interrupta,missing,No BIEN range returned
p2veg:LAOCO,nrcs_plants_symbol,LAOCO,Lappula occidentalis var. occidentalis,flatspine stickseed,forb,5,10,12,245.692968,Lappula_occidentalis_var._occidentalis,missing,No BIEN range returned
p2veg:MEAL7,nrcs_plants_symbol,MEAL7,Mertensia alpina,alpine bluebells,forb,4,31,33,245,Mertensia_alpina,missing,No BIEN range returned
p2veg:RUELO,nrcs_plants_symbol,RUELO,Rubus ellipticus var. obcordatus,yellow Himalayan raspberry,shrub,1,8,8,245,Rubus_ellipticus_var._obcordatus,missing,No BIEN range returned
p2veg:LIBOA,nrcs_plants_symbol,LIBOA,Linnaea borealis ssp. americana,twinflower,forb,2,5,6,244.626754,Linnaea_borealis_ssp._americana,missing,No BIEN range returned
p2veg:FRCAT2,nrcs_plants_symbol,FRCAT2,Frangula californica ssp. tomentella,California buckthorn,shrub,1,10,12,242.180564,Frangula_californica_ssp._tomentella,missing,No BIEN range returned
p2veg:SCAR7,nrcs_plants_symbol,SCAR7,Schedonorus arundinaceus,tall fescue,graminoid,7,19,26,241.231021,Schedonorus_arundinaceus,missing,No BIEN range returned
p2veg:PNSA,nrcs_plants_symbol,PNSA,Pneumatopteris sandwicensis,Hawai'i air fern,forb,1,6,6,241,Pneumatopteris_sandwicensis,missing,No BIEN range returned
p2veg:ERCR2,nrcs_plants_symbol,ERCR2,Eriodictyon crassifolium,thickleaf yerba santa,shrub,1,23,24,240.855739,Eriodictyon_crassifolium,missing,No BIEN range returned
p2veg:ARTRT2,nrcs_plants_symbol,ARTRT2,Artemisia tripartita ssp. tripartita,threetip sagebrush,shrub,6,8,9,240,Artemisia_tripartita_ssp._tripartita,missing,No BIEN range returned
p2veg:TRCAO,nrcs_plants_symbol,TRCAO,Trautvetteria caroliniensis var. occidentalis,western bugbane,forb,3,11,12,238,Trautvetteria_caroliniensis_var._occidentalis,missing,No BIEN range returned
p2veg:ERFAP,nrcs_plants_symbol,ERFAP,Eriogonum fasciculatum var. polifolium,Eastern Mojave buckwheat,shrub,2,14,15,237.163668,Eriogonum_fasciculatum_var._polifolium,missing,No BIEN range returned
fia_spcd:8392,fia_spcd,8392,Psychotria mariniana,forest wild coffee,seedling;tree,1,5,5,233.754289712163,Psychotria_mariniana,missing,No BIEN range returned
p2veg:SASO,nrcs_plants_symbol,SASO,Salvia sonomensis,creeping sage,forb;shrub,1,13,15,231.200204,Salvia_sonomensis,missing,No BIEN range returned
p2veg:PATRM,nrcs_plants_symbol,PATRM,Passiflora tripartita var. mollissima,banana passionflower,forb;shrub,1,14,14,231.190745,Passiflora_tripartita_var._mollissima,missing,No BIEN range returned
fia_spcd:8522,fia_spcd,8522,Santalum paniculatum,mountain sandalwood,seedling;tree,1,4,4,227.741222839814,Santalum_paniculatum,missing,No BIEN range returned
fia_spcd:6722,fia_spcd,6722,Coprosma rhynchocarpa,woodland mirrorplant,seedling;tree,1,5,5,227.14254084641,Coprosma_rhynchocarpa,missing,No BIEN range returned
fia_spcd:8774,fia_spcd,8774,Tetraplasandra oahuensis,ohe mauka,seedling;tree,1,3,3,226.458522553507,Tetraplasandra_oahuensis,missing,No BIEN range returned
p2veg:MAMA,nrcs_plants_symbol,MAMA,Madia madioides,woodland madia,forb,2,33,34,226,Madia_madioides,missing,No BIEN range returned
fia_spcd:6716,fia_spcd,6716,Coprosma foliosa,forest mirrorplant,seedling,1,2,2,224.895847,Coprosma_foliosa,missing,No BIEN range returned
fia_spcd:583,fia_spcd,583,Halesia parviflora,little silverbell,seedling,1,1,1,224.895847,Halesia_parviflora,missing,No BIEN range returned
fia_spcd:7742,fia_spcd,7742,Melicope ovata,eggshape melicope,seedling,1,1,1,224.895847,Melicope_ovata,missing,No BIEN range returned
fia_spcd:7751,fia_spcd,7751,Melicope rotundifolia,roundleaf melicope,seedling,1,1,1,224.895847,Melicope_rotundifolia,missing,No BIEN range returned
fia_spcd:7753,fia_spcd,7753,Melicope sandwicensis,Mt. Kaala melicope,seedling,1,1,1,224.895847,Melicope_sandwicensis,missing,No BIEN range returned
fia_spcd:8205,fia_spcd,8205,Pipturus albidus,Waimea pipturus,seedling,1,2,2,224.895847,Pipturus_albidus,missing,No BIEN range returned
p2veg:TROR,nrcs_plants_symbol,TROR,Trema orientalis,Oriental trema,p2veg_tree_layer,1,8,8,222.518161,Trema_orientalis,missing,No BIEN range returned
p2veg:PTAQD,nrcs_plants_symbol,PTAQD,Pteridium aquilinum var. decompositum,decomposition brackenfern,forb,1,1,1,221,Pteridium_aquilinum_var._decompositum,missing,No BIEN range returned
p2veg:VUMIM,nrcs_plants_symbol,VUMIM,Vulpia microstachys var. microstachys,desert fescue,graminoid,3,13,13,215.412486,Vulpia_microstachys_var._microstachys,missing,No BIEN range returned
p2veg:ARCAV2,nrcs_plants_symbol,ARCAV2,Artemisia cana ssp. viscidula,silver sagebrush,shrub,5,9,9,213,Artemisia_cana_ssp._viscidula,missing,No BIEN range returned
p2veg:LUSES2,nrcs_plants_symbol,LUSES2,Lupinus sericeus ssp. sericeus,silky lupine,forb,1,15,18,210.68398,Lupinus_sericeus_ssp._sericeus,missing,No BIEN range returned
fia_spcd:8831,fia_spcd,8831,Trema orientalis,oriental trema,seedling;tree,1,9,9,210.248002309698,Trema_orientalis,missing,No BIEN range returned
p2veg:ARGLA2,nrcs_plants_symbol,ARGLA2,Arctostaphylos glandulosa ssp. adamsii,Adams' manzanita,shrub,1,1,1,210,Arctostaphylos_glandulosa_ssp._adamsii,missing,No BIEN range returned
p2veg:SELA2,nrcs_plants_symbol,SELA2,Sedum laxum,roseflower stonecrop,forb,1,18,21,209.085183,Sedum_laxum,missing,No BIEN range returned
p2veg:CYSCS2,nrcs_plants_symbol,CYSCS2,Cytisus scoparius var. scoparius,Scotch broom,shrub,2,6,6,207.32436,Cytisus_scoparius_var._scoparius,missing,No BIEN range returned
p2veg:VIAMA3,nrcs_plants_symbol,VIAMA3,Vicia americana ssp. americana,American vetch,forb,5,10,11,206.687827,Vicia_americana_ssp._americana,missing,No BIEN range returned
p2veg:HYSA,nrcs_plants_symbol,HYSA,Hymenoclea salsola,burrobrush,shrub,2,11,12,205,Hymenoclea_salsola,missing,No BIEN range returned
p2veg:PATE6,nrcs_plants_symbol,PATE6,Panicum tenuifolium,parkland panicgrass,graminoid,1,1,1,205,Panicum_tenuifolium,missing,No BIEN range returned
p2veg:DICH2,nrcs_plants_symbol,DICH2,Dicliptera chinensis,Chinese foldwing,forb,1,2,2,204,Dicliptera_chinensis,missing,No BIEN range returned
p2veg:BASA4,nrcs_plants_symbol,BASA4,Baccharis salicifolia,mule-fat,shrub,3,17,17,203.652968,Baccharis_salicifolia,missing,No BIEN range returned
p2veg:POCA21,nrcs_plants_symbol,POCA21,Polygonum capitatum,pinkhead smartweed,forb,1,6,7,203,Polygonum_capitatum,missing,No BIEN range returned
p2veg:ALST11,nrcs_plants_symbol,ALST11,Alyxia stellata,Maile,shrub,1,16,16,202.117635,Alyxia_stellata,missing,No BIEN range returned
p2veg:TRHA,nrcs_plants_symbol,TRHA,Trifolium haydenii,Hayden's clover,forb,3,10,11,201.90032,Trifolium_haydenii,missing,No BIEN range returned
p2veg:SAPA7,nrcs_plants_symbol,SAPA7,Santalum paniculatum,mountain sandalwood,p2veg_tree_layer,1,8,8,201,Santalum_paniculatum,missing,No BIEN range returned
p2veg:ADCA,nrcs_plants_symbol,ADCA,Adiantum capillus-veneris,common maidenhair,forb,2,10,12,199.894868,Adiantum_capillus-veneris,missing,No BIEN range returned
p2veg:CHVIV2,nrcs_plants_symbol,CHVIV2,Chrysothamnus viscidiflorus ssp. viscidiflorus,yellow rabbitbrush,shrub,4,14,14,195,Chrysothamnus_viscidiflorus_ssp._viscidiflorus,missing,No BIEN range returned
p2veg:QUCHN,nrcs_plants_symbol,QUCHN,Quercus chrysolepis var. nana,canyon live oak,shrub,1,1,1,195,Quercus_chrysolepis_var._nana,missing,No BIEN range returned
p2veg:QUCO7,nrcs_plants_symbol,QUCO7,Quercus cornelius-mulleri,Muller oak,p2veg_tree_layer;shrub,1,9,9,195,Quercus_cornelius-mulleri,missing,No BIEN range returned
p2veg:PODEM,nrcs_plants_symbol,PODEM,Populus deltoides ssp. monilifera,plains cottonwood,p2veg_tree_layer,2,13,13,194,Populus_deltoides_ssp._monilifera,missing,No BIEN range returned
p2veg:DISA10,nrcs_plants_symbol,DISA10,Diospyros sandwicensis,lama,p2veg_tree_layer,1,11,11,192,Diospyros_sandwicensis,missing,No BIEN range returned
p2veg:SPDOD,nrcs_plants_symbol,SPDOD,Spiraea douglasii var. douglasii,rose spirea,shrub,2,8,10,191.48599,Spiraea_douglasii_var._douglasii,missing,No BIEN range returned
p2veg:CAWA,nrcs_plants_symbol,CAWA,Carex wahuensis,Oahu sedge,graminoid,1,9,9,191,Carex_wahuensis,missing,No BIEN range returned
p2veg:RISAS,nrcs_plants_symbol,RISAS,Ribes sanguineum var. sanguineum,redflower currant,shrub,1,4,4,187,Ribes_sanguineum_var._sanguineum,missing,No BIEN range returned
p2veg:GETRC2,nrcs_plants_symbol,GETRC2,Geum triflorum var. ciliatum,old man's whiskers,forb,1,21,25,186.937071,Geum_triflorum_var._ciliatum,missing,No BIEN range returned
p2veg:POGLG4,nrcs_plants_symbol,POGLG4,Potentilla glandulosa ssp. glandulosa,sticky cinquefoil,forb,4,10,11,184.826385,Potentilla_glandulosa_ssp._glandulosa,missing,No BIEN range returned
fia_spcd:857,fia_spcd,857,Casuarina lepidophloia,belah,seedling;tree,1,3,3,184.191266454777,Casuarina_lepidophloia,missing,No BIEN range returned
p2veg:CHVA2,nrcs_plants_symbol,CHVA2,Chrysothamnus vaseyi,Vasey's rabbitbrush,shrub,3,25,25,184,Chrysothamnus_vaseyi,missing,No BIEN range returned
p2veg:LECIC2,nrcs_plants_symbol,LECIC2,Leptosiphon ciliatus ssp. ciliatus,whiskerbrush,forb,2,15,16,183.689752,Leptosiphon_ciliatus_ssp._ciliatus,missing,No BIEN range returned
p2veg:PUOC,nrcs_plants_symbol,PUOC,Pulsatilla occidentalis,white pasqueflower,forb,4,12,13,183.591039,Pulsatilla_occidentalis,missing,No BIEN range returned
p2veg:ALDED,nrcs_plants_symbol,ALDED,Alyssum desertorum var. desertorum,desert madwort,forb,1,2,2,183,Alyssum_desertorum_var._desertorum,missing,No BIEN range returned
p2veg:PHNEO,nrcs_plants_symbol,PHNEO,Phacelia nemoralis ssp. oregonensis,Oregon phacelia,forb,1,2,2,183,Phacelia_nemoralis_ssp._oregonensis,missing,No BIEN range returned
p2veg:PRGLG,nrcs_plants_symbol,PRGLG,Prosopis glandulosa var. glandulosa,honey mesquite,p2veg_tree_layer,1,7,7,183,Prosopis_glandulosa_var._glandulosa,missing,No BIEN range returned
p2veg:CORAR,nrcs_plants_symbol,CORAR,Collinsia rattanii ssp. rattanii,sticky blue eyed Mary,forb,1,10,13,182.679839,Collinsia_rattanii_ssp._rattanii,missing,No BIEN range returned
p2veg:SYFOA,nrcs_plants_symbol,SYFOA,Symphyotrichum foliaceum var. apricum,alpine leafybract aster,forb,3,10,10,182,Symphyotrichum_foliaceum_var._apricum,missing,No BIEN range returned
p2veg:LOPEM2,nrcs_plants_symbol,LOPEM2,Lolium perenne ssp. multiflorum,Italian ryegrass,graminoid,3,10,11,181.939686,Lolium_perenne_ssp._multiflorum,missing,No BIEN range returned
p2veg:ERPAP10,nrcs_plants_symbol,ERPAP10,Ericameria parryi var. parryi,Parry's rabbitbrush,shrub,4,9,10,180,Ericameria_parryi_var._parryi,missing,No BIEN range returned
p2veg:CLSIS,nrcs_plants_symbol,CLSIS,Claytonia sibirica var. sibirica,Siberian springbeauty,forb,3,20,23,179.956129,Claytonia_sibirica_var._sibirica,missing,No BIEN range returned
p2veg:BRINP,nrcs_plants_symbol,BRINP,Bromus inermis ssp. pumpellianus,Pumpelly's brome,graminoid,4,5,5,179.61294,Bromus_inermis_ssp._pumpellianus,missing,No BIEN range returned
p2veg:STCHC3,nrcs_plants_symbol,STCHC3,Stachys chamissonis var. cooleyae,coastal hedgenettle,forb,2,20,21,179.016375,Stachys_chamissonis_var._cooleyae,missing,No BIEN range returned
p2veg:PESA3,nrcs_plants_symbol,PESA3,Perrottetia sandwicensis,olomea,p2veg_tree_layer,1,9,9,178,Perrottetia_sandwicensis,missing,No BIEN range returned
p2veg:SYSPS,nrcs_plants_symbol,SYSPS,Symphyotrichum spathulatum var. spathulatum,western mountain aster,forb,5,15,17,176.899925,Symphyotrichum_spathulatum_var._spathulatum,missing,No BIEN range returned
p2veg:MICAC2,nrcs_plants_symbol,MICAC2,Micropus californicus var. californicus,,forb,2,20,21,175.803334,Micropus_californicus_var._californicus,missing,No BIEN range returned
p2veg:ELGLG,nrcs_plants_symbol,ELGLG,Elymus glaucus ssp. glaucus,blue wildrye,graminoid,5,19,20,175.107479,Elymus_glaucus_ssp._glaucus,missing,No BIEN range returned
p2veg:EULEL2,nrcs_plants_symbol,EULEL2,Eucephalus ledophyllus var. ledophyllus,Cascade aster,forb,2,21,27,175.034634,Eucephalus_ledophyllus_var._ledophyllus,missing,No BIEN range returned
p2veg:SYORU,nrcs_plants_symbol,SYORU,Symphoricarpos oreophilus var. utahensis,Utah snowberry,shrub,3,14,15,174,Symphoricarpos_oreophilus_var._utahensis,missing,No BIEN range returned
p2veg:HOJUJ,nrcs_plants_symbol,HOJUJ,Hordeum jubatum ssp. jubatum,foxtail barley,graminoid,2,2,3,172.235212,Hordeum_jubatum_ssp._jubatum,missing,No BIEN range returned
p2veg:FESAS,nrcs_plants_symbol,FESAS,Festuca saximontana var. saximontana,Rocky Mountain fescue,graminoid,4,9,9,172,Festuca_saximontana_var._saximontana,missing,No BIEN range returned
p2veg:LOUNU,nrcs_plants_symbol,LOUNU,Lotus unifoliolatus var. unifoliolatus,American bird's-foot trefoil,forb,5,9,10,171.556758,Lotus_unifoliolatus_var._unifoliolatus,missing,No BIEN range returned
p2veg:ASCAM3,nrcs_plants_symbol,ASCAM3,Astragalus canadensis var. mortonii,Morton's Canadian milkvetch,forb,2,2,2,171,Astragalus_canadensis_var._mortonii,missing,No BIEN range returned
p2veg:BRINI2,nrcs_plants_symbol,BRINI2,Bromus inermis ssp. inermis var. inermis,smooth brome,graminoid,2,11,13,168,Bromus_inermis_ssp._inermis_var._inermis,missing,No BIEN range returned
p2veg:LEGO,nrcs_plants_symbol,LEGO,Lesquerella gordonii,Gordon's bladderpod,forb,2,12,12,168,Lesquerella_gordonii,missing,No BIEN range returned
p2veg:HEMA21,nrcs_plants_symbol,HEMA21,Hesperocyparis macnabiana,,p2veg_tree_layer,1,1,1,167,Hesperocyparis_macnabiana,missing,No BIEN range returned
p2veg:CAECP,nrcs_plants_symbol,CAECP,Carex echinata ssp. phyllomanica,star sedge,graminoid,1,17,17,166,Carex_echinata_ssp._phyllomanica,missing,No BIEN range returned
p2veg:ERNAO,nrcs_plants_symbol,ERNAO,Ericameria nauseosa ssp. consimilis var. oreophila,rubber rabbitbrush,shrub,4,9,10,166,Ericameria_nauseosa_ssp._consimilis_var._oreophila,missing,No BIEN range returned
p2veg:PEAR6,nrcs_plants_symbol,PEAR6,Pediomelum argophyllum,silverleaf Indian breadroot,forb,2,22,23,166,Pediomelum_argophyllum,missing,No BIEN range returned
p2veg:ROWOW,nrcs_plants_symbol,ROWOW,Rosa woodsii var. woodsii,Woods' rose,shrub,2,12,13,165,Rosa_woodsii_var._woodsii,missing,No BIEN range returned
p2veg:LOCRC,nrcs_plants_symbol,LOCRC,Lotus crassifolius var. crassifolius,big deervetch,forb,2,12,12,162,Lotus_crassifolius_var._crassifolius,missing,No BIEN range returned
p2veg:HEHI8,nrcs_plants_symbol,HEHI8,Hedyotis hillebrandii,manono,p2veg_tree_layer,1,11,11,161,Hedyotis_hillebrandii,missing,No BIEN range returned
fia_spcd:683,fia_spcd,683,Morus microphylla,Texas mulberry,seedling;tree,1,8,8,160.823013258284,Morus_microphylla,missing,No BIEN range returned
p2veg:SEOR,nrcs_plants_symbol,SEOR,Sedum oreganum,Oregon stonecrop,forb,3,15,19,160.531279,Sedum_oreganum,missing,No BIEN range returned
p2veg:SYFAF,nrcs_plants_symbol,SYFAF,Symphyotrichum falcatum var. falcatum,white prairie aster,forb,3,18,18,158,Symphyotrichum_falcatum_var._falcatum,missing,No BIEN range returned
fia_spcd:8388,fia_spcd,8388,Psychotria kaduana,kopiko kea,seedling;tree,1,2,2,156.380827545164,Psychotria_kaduana,missing,No BIEN range returned
p2veg:ACCA6,nrcs_plants_symbol,ACCA6,Achlys californica,deer's foot,forb,1,6,7,155.70684,Achlys_californica,missing,No BIEN range returned
fia_spcd:6244,fia_spcd,6244,Bobea sandwicensis,Hawaii dogweed,seedling;tree,1,3,3,154.975371397271,Bobea_sandwicensis,missing,No BIEN range returned
p2veg:GADIP,nrcs_plants_symbol,GADIP,Gayophytum diffusum ssp. parviflorum,spreading groundsmoke,forb,3,8,10,154.254445,Gayophytum_diffusum_ssp._parviflorum,missing,No BIEN range returned
p2veg:HOMUL,nrcs_plants_symbol,HOMUL,Hordeum murinum ssp. leporinum,hare barley,graminoid,1,5,5,154.16456,Hordeum_murinum_ssp._leporinum,missing,No BIEN range returned
p2veg:RICEC2,nrcs_plants_symbol,RICEC2,Ribes cereum var. cereum,wax currant,shrub,4,15,17,153.605205,Ribes_cereum_var._cereum,missing,No BIEN range returned
fia_spcd:6504,fia_spcd,6504,Charpentiera tomentosa,Waianae Range papala,seedling;tree,1,1,1,153.059854797761,Charpentiera_tomentosa,missing,No BIEN range returned
p2veg:LUPA3,nrcs_plants_symbol,LUPA3,Lupinus palmeri,bluebonnet lupine,forb;shrub,2,3,3,153,Lupinus_palmeri,missing,No BIEN range returned
p2veg:PIPOW2,nrcs_plants_symbol,PIPOW2,Pinus ponderosa var. washoensis,Washoe pine,p2veg_tree_layer,1,3,3,153,Pinus_ponderosa_var._washoensis,missing,No BIEN range returned
p2veg:CELEL,nrcs_plants_symbol,CELEL,Cercocarpus ledifolius var. ledifolius,curl-leaf mountain mahogany,p2veg_tree_layer;shrub,1,3,3,152.81703,Cercocarpus_ledifolius_var._ledifolius,missing,No BIEN range returned
fia_spcd:7749,fia_spcd,7749,Melicope radiata,kapu melicope,seedling;tree,1,2,2,151.360309740827,Melicope_radiata,missing,No BIEN range returned
fia_spcd:6837,fia_spcd,6837,Cyathea cooperi,Cooper's cyathea,seedling;tree,1,2,2,151.073113540592,Cyathea_cooperi,missing,No BIEN range returned
p2veg:FRVIP2,nrcs_plants_symbol,FRVIP2,Fragaria virginiana ssp. platypetala,Virginia strawberry,forb,2,18,20,150.966062,Fragaria_virginiana_ssp._platypetala,missing,No BIEN range returned
p2veg:NOFEG,nrcs_plants_symbol,NOFEG,Noccaea fendleri ssp. glauca,alpine pennycress,forb,3,7,8,150.776519,Noccaea_fendleri_ssp._glauca,missing,No BIEN range returned
p2veg:CHOA,nrcs_plants_symbol,CHOA,Chenopodium oahuense,alaweo,shrub,1,5,5,150,Chenopodium_oahuense,missing,No BIEN range returned
fia_spcd:8738,fia_spcd,8738,Taxus baccata,English yew,seedling,1,1,1,149.930565,Taxus_baccata,missing,No BIEN range returned
p2veg:CACAC10,nrcs_plants_symbol,CACAC10,Calamagrostis canadensis var. canadensis,bluejoint,graminoid,3,6,6,148,Calamagrostis_canadensis_var._canadensis,missing,No BIEN range returned
p2veg:CELAR,nrcs_plants_symbol,CELAR,Celtis laevigata var. reticulata,netleaf hackberry,p2veg_tree_layer;shrub,4,15,15,148,Celtis_laevigata_var._reticulata,missing,No BIEN range returned
p2veg:CORH,nrcs_plants_symbol,CORH,Coprosma rhynchocarpa,woodland mirrorplant,p2veg_tree_layer,1,6,6,148,Coprosma_rhynchocarpa,missing,No BIEN range returned
p2veg:COER3,nrcs_plants_symbol,COER3,Coprosma ernodeoides,'aiakanene,shrub,1,11,12,147.173268,Coprosma_ernodeoides,missing,No BIEN range returned
p2veg:CATES2,nrcs_plants_symbol,CATES2,Cassiope tetragona var. saximontana,white arctic mountain heather,shrub,1,5,6,147,Cassiope_tetragona_var._saximontana,missing,No BIEN range returned
p2veg:CHLI3,nrcs_plants_symbol,CHLI3,Chrysothamnus linifolius,spearleaf rabbitbrush,shrub,3,9,9,147,Chrysothamnus_linifolius,missing,No BIEN range returned
p2veg:PHAL4,nrcs_plants_symbol,PHAL4,Phyllodoce aleutica,Aleutian mountainheath,shrub,1,12,12,147,Phyllodoce_aleutica,missing,No BIEN range returned
p2veg:STUR,nrcs_plants_symbol,STUR,Stachytarpheta urticifolia,nettleleaf velvetberry,forb;shrub,1,11,11,145.733772,Stachytarpheta_urticifolia,missing,No BIEN range returned
p2veg:ASME4,nrcs_plants_symbol,ASME4,Astelia menziesiana,pua'akuhinia,forb,1,7,7,143,Astelia_menziesiana,missing,No BIEN range returned
p2veg:ERNAN3,nrcs_plants_symbol,ERNAN3,Ericameria nauseosa ssp. nauseosa,rubber rabbitbrush,forb;shrub,5,21,22,142.9905,Ericameria_nauseosa_ssp._nauseosa,missing,No BIEN range returned
p2veg:CAPA14,nrcs_plants_symbol,CAPA14,Carex pachystachya,chamisso sedge,graminoid,5,9,9,142,Carex_pachystachya,missing,No BIEN range returned
p2veg:HECOL3,nrcs_plants_symbol,HECOL3,Hemizonia congesta ssp. luzulifolia,hayfield tarweed,forb,1,5,5,142,Hemizonia_congesta_ssp._luzulifolia,missing,No BIEN range returned
p2veg:HEVIV,nrcs_plants_symbol,HEVIV,Heterotheca villosa var. villosa,hairy false goldenaster,forb,5,14,14,138,Heterotheca_villosa_var._villosa,missing,No BIEN range returned
p2veg:ACLEL,nrcs_plants_symbol,ACLEL,Achnatherum lemmonii var. lemmonii,Lemmon's needlegrass,graminoid,3,10,11,137.577392,Achnatherum_lemmonii_var._lemmonii,missing,No BIEN range returned
p2veg:ACGLD3,nrcs_plants_symbol,ACGLD3,Acer glabrum var. diffusum,Rocky Mountain maple,p2veg_tree_layer;shrub,3,8,9,137.051335,Acer_glabrum_var._diffusum,missing,No BIEN range returned
p2veg:ROACS,nrcs_plants_symbol,ROACS,Rosa acicularis ssp. sayi,prickly rose,shrub,3,16,18,137.048988,Rosa_acicularis_ssp._sayi,missing,No BIEN range returned
p2veg:SYROP,nrcs_plants_symbol,SYROP,Symphoricarpos rotundifolius var. parishii,Parish's snowberry,shrub,2,4,4,137,Symphoricarpos_rotundifolius_var._parishii,missing,No BIEN range returned
p2veg:MOODP,nrcs_plants_symbol,MOODP,Monardella odoratissima ssp. pallida,mountain monardella,forb,1,10,12,136.803545,Monardella_odoratissima_ssp._pallida,missing,No BIEN range returned
p2veg:SANIC4,nrcs_plants_symbol,SANIC4,Sambucus nigra ssp. canadensis,American black elderberry,p2veg_tree_layer;shrub,4,24,25,136.047308,Sambucus_nigra_ssp._canadensis,missing,No BIEN range returned
p2veg:CANOI,nrcs_plants_symbol,CANOI,Carex norvegica ssp. inferalpina,closedhead sedge,graminoid,3,4,4,136,Carex_norvegica_ssp._inferalpina,missing,No BIEN range returned
p2veg:SEAMA,nrcs_plants_symbol,SEAMA,Senecio amplectens var. amplectens,showy alpine ragwort,forb,1,8,8,136,Senecio_amplectens_var._amplectens,missing,No BIEN range returned
p2veg:ARCAB3,nrcs_plants_symbol,ARCAB3,Artemisia cana ssp. bolanderi,silver sagebrush,shrub,1,2,4,134.320336,Artemisia_cana_ssp._bolanderi,missing,No BIEN range returned
p2veg:PHCA4,nrcs_plants_symbol,PHCA4,Phalaris californica,California canarygrass,graminoid,1,1,1,133.5425,Phalaris_californica,missing,No BIEN range returned
p2veg:LUWY,nrcs_plants_symbol,LUWY,Lupinus wyethii,Wyeth's lupine,forb,4,16,18,132.317678,Lupinus_wyethii,missing,No BIEN range returned
p2veg:THMOM3,nrcs_plants_symbol,THMOM3,Thermopsis montana var. montana,mountain goldenbanner,forb,6,12,13,130.656152,Thermopsis_montana_var._montana,missing,No BIEN range returned
p2veg:CAAL12,nrcs_plants_symbol,CAAL12,Carex alligata,Hawai'i sedge,graminoid,1,3,3,130,Carex_alligata,missing,No BIEN range returned
p2veg:DIEM,nrcs_plants_symbol,DIEM,Dicranopteris emarginata,uluhe,forb,1,1,1,130,Dicranopteris_emarginata,missing,No BIEN range returned
p2veg:TOPAP3,nrcs_plants_symbol,TOPAP3,Torreyochloa pallida var. pauciflora,pale false mannagrass,graminoid,2,3,3,130,Torreyochloa_pallida_var._pauciflora,missing,No BIEN range returned
p2veg:ATMI,nrcs_plants_symbol,ATMI,Athyrium microphyllum,akolea,forb,1,6,6,129,Athyrium_microphyllum,missing,No BIEN range returned
p2veg:DEINI2,nrcs_plants_symbol,DEINI2,Descurainia incana ssp. incisa,mountain tansymustard,forb,4,9,9,129,Descurainia_incana_ssp._incisa,missing,No BIEN range returned
p2veg:ACKO2,nrcs_plants_symbol,ACKO2,Acacia koaia,koaoha,p2veg_tree_layer,1,4,4,128,Acacia_koaia,missing,No BIEN range returned
