species_key,source_code_system,source_species_code,scientific_name,common_name,community_layers,n_states,n_plot_visits,n_conditions,abundance_total,bien_query_name,range_lookup_status,range_review_reason
fia_spcd:323,fia_spcd,323,Acer leucoderme,chalk maple,seedling;tree,6,115,122,30859.4698853833,Acer_leucoderme,missing,No BIEN range returned
p2veg:CHCHC4,nrcs_plants_symbol,CHCHC4,Chrysolepis chrysophylla var. chrysophylla,giant chinquapin,p2veg_tree_layer;shrub,2,1114,1229,30182.505975,Chrysolepis_chrysophylla_var._chrysophylla,missing,No BIEN range returned
fia_spcd:67,fia_spcd,67,Juniperus virginiana var. silicicola,southern redcedar,seedling;tree,11,221,228,29553.4479561302,Juniperus_virginiana_var._silicicola,missing,No BIEN range returned
fia_spcd:6004,fia_spcd,6004,Acacia confusa,small Philippine acacia,seedling;tree,1,13,16,27562.6423193529,Acacia_confusa,missing,No BIEN range returned
fia_spcd:6548,fia_spcd,6548,Cibotium menziesii,hapuu li,seedling;tree,1,126,131,25417.8177496787,Cibotium_menziesii,missing,No BIEN range returned
fia_spcd:808,fia_spcd,808,Quercus sinuata var. sinuata,Durand oak,seedling;tree,7,145,149,24773.9248954076,Quercus_sinuata_var._sinuata,missing,No BIEN range returned
p2veg:NECR2,nrcs_plants_symbol,NECR2,Nephrophyllidium crista-galli,deercabbage,forb,2,627,727,23348.11149,Nephrophyllidium_crista-galli,missing,No BIEN range returned
fia_spcd:571,fia_spcd,571,Gymnocladus dioicus,Kentucky coffeetree,seedling;tree,19,378,378,23182.7452105749,Gymnocladus_dioicus,missing,No BIEN range returned
p2veg:CHANA2,nrcs_plants_symbol,CHANA2,Chamerion angustifolium ssp. angustifolium,fireweed,forb,8,695,734,21678.770311,Chamerion_angustifolium_ssp._angustifolium,missing,No BIEN range returned
p2veg:ALINT,nrcs_plants_symbol,ALINT,Alnus incana ssp. tenuifolia,thinleaf alder,p2veg_tree_layer;shrub,11,535,581,21482.344502,Alnus_incana_ssp._tenuifolia,missing,No BIEN range returned
p2veg:ABMAS,nrcs_plants_symbol,ABMAS,Abies magnifica var. shastensis,Shasta red fir,p2veg_tree_layer,2,334,364,21140.979488,Abies_magnifica_var._shastensis,missing,No BIEN range returned
fia_spcd:334,fia_spcd,334,Aesculus glabra var. arguta,Texas buckeye,seedling;tree,5,79,84,19408.5976315556,Aesculus_glabra_var._arguta,missing,No BIEN range returned
p2veg:POBAT,nrcs_plants_symbol,POBAT,Populus balsamifera ssp. trichocarpa,black cottonwood,p2veg_tree_layer,8,599,646,18683.754301,Populus_balsamifera_ssp._trichocarpa,missing,No BIEN range returned
fia_spcd:7926,fia_spcd,7926,Myrsine sandwicensis,kokea lau lii,seedling;tree,1,41,41,18517.3467248588,Myrsine_sandwicensis,missing,No BIEN range returned
