source_code_system,n_species_universe,n_species_targets,n_pseudo_or_aggregate,total_abundance_for_universe,n_bien_available,n_bien_missing,pct_bien_available_of_targets
fia_spcd,661,592,69,825084354.488356,452,140,76.4
nrcs_plants_symbol,5893,5302,591,22769218.567359,3762,1540,71
