original_name,candidate_name,taxonomic_status,review_class,species_key
Polygonum amphibium,Persicaria amphibia,Synonym,synonym_candidate,p2veg:POAM8
Polygonum bistortoides,Bistorta bistortoides,Synonym,synonym_candidate,p2veg:POBI6
Polygonum capitatum,Persicaria nepalensis,Invalid,parent_species_candidate,p2veg:POCA21
Polygonum cuspidatum,Persicaria acuminata,Invalid,parent_species_candidate,p2veg:POCU6
Polygonum sachalinense,Reynoutria sachalinensis,Synonym,synonym_candidate,p2veg:POSA4
Polygonum viviparum,Persicaria vivipara,Synonym,synonym_candidate,p2veg:POVI3
Poncirus trifoliata,Citrus trifoliata,Synonym,synonym_candidate,fia_spcd:8296
Prenanthes alata,Nabalus alatus,Synonym,synonym_candidate,p2veg:PRAL
Psoralidium tenuiflorum,Pediomelum tenuiflorum,Synonym,synonym_candidate,p2veg:PSTE5
Reverchonia arenaria,Phyllanthus warnockii,Synonym,synonym_candidate,p2veg:REAR
Sanguisorba menziesii,Sanguisorba officinalis,Synonym,synonym_candidate,p2veg:SAME6
Saxifraga caespitosa,Saxifraga paniculata,Illegitimate,parent_species_candidate,p2veg:SACA50
Scrophularia oregana,Scrophularia californica,Synonym,synonym_candidate,p2veg:SCOR
Sorbus dumosa,Sorbus decora,Illegitimate,parent_species_candidate,p2veg:SODU2
Stachytarpheta australis,Stachytarpheta cayennensis,Synonym,synonym_candidate,p2veg:STAU
Stewartia koreana,Stewartia pseudocamellia,Synonym,synonym_candidate,fia_spcd:8675
Taraxacum laevigatum,Taraxacum erythrospermum,Synonym,synonym_candidate,p2veg:TALA2
Tripleurospermum perforatum,Tripleurospermum inodorum,Synonym,synonym_candidate,p2veg:TRPE21
Trisetum wolfii,Graphephorum wolfii,Synonym,synonym_candidate,p2veg:TRWO3
Urochloa maxima,Megathyrsus maximus,Synonym,synonym_candidate,p2veg:URMA3
Viguiera parishii,Bahiopsis parishii,Synonym,synonym_candidate,p2veg:VIPA14
Yucca torreyi,Yucca faxoniana,Synonym,synonym_candidate,p2veg:YUTO
Zigadenus fremontii,Toxicoscordion fremontii,Synonym,synonym_candidate,p2veg:ZIFR
Zigadenus paniculatus,Toxicoscordion paniculatum,Synonym,synonym_candidate,p2veg:ZIPA2
