scenario,response,group,group_label,term,estimate,std_error,statistic,p_value,conf_low,conf_high,n,stable_plots
condition_prop_80,precipitation,trees,Adults,disease_cumulative_mortality_pct,-0.0952539754651249,0.0293328817917972,-3.24734460600329,0.00116564058970646,-0.152746760142522,-0.0377611907877275,49968,49966
condition_prop_80,precipitation,trees,Adults,fire_cumulative_mortality_pct,-0.165112116800134,0.0309742069483701,-5.3306325832766,9.82948882586159e-08,-0.225821917605788,-0.104402315994481,49968,49966
condition_prop_80,precipitation,trees,Adults,full_survey_period_years,0.245575195295597,0.0383211481290756,6.40834649495459,1.48412601681441e-10,0.170465305527054,0.32068508506414,49968,49966
condition_prop_80,precipitation,trees,Adults,insect_cumulative_mortality_pct,-0.0257858701717456,0.022404596325283,-1.15091875780181,0.249771168100257,-0.0696991358868693,0.0181273955433781,49968,49966
state_fixed_effects,precipitation,trees,Adults,cumulative_site_CWD_mm,-0.000171249371377043,7.07460845224673e-05,-2.42061977751798,0.0154965197112537,-0.000309911469352384,-3.25872734017023e-05,72388,71316
state_fixed_effects,precipitation,trees,Adults,disease_cumulative_mortality_pct,-0.12139999838181,0.0295107786647564,-4.11375110636417,3.89711277191341e-05,-0.179241029587452,-0.0635589671761673,72388,71316
state_fixed_effects,precipitation,trees,Adults,fire_cumulative_mortality_pct,-0.164639431665694,0.0293403127453306,-5.61137275852302,2.01459956385445e-08,-0.222146350217888,-0.1071325131135,72388,71316
state_fixed_effects,precipitation,trees,Adults,full_survey_period_years,0.201589752391287,0.0507513709549812,3.97210456777821,7.13093580998461e-05,0.102117228657375,0.301062276125199,72388,71316
state_fixed_effects,precipitation,trees,Adults,insect_cumulative_mortality_pct,-0.0178621997575077,0.0210016893237499,-0.850512522214494,0.395043016751685,-0.0590254432403701,0.0233010437253546,72388,71316
mean_monthly_CWD,precipitation,trees,Adults,disease_cumulative_mortality_pct,-0.137544246365981,0.028629649700712,-4.80425879477528,1.55636232588139e-06,-0.193658267002258,-0.0814302257297049,72388,71316
