response,group,term,scenario,group_label_robustness,estimate_robustness,std_error_robustness,statistic_robustness,p_value_robustness,conf_low_robustness,conf_high_robustness,n,stable_plots,model_id,group_label_approved,estimate_approved,std_error_approved,statistic_approved,p_value_approved,conf_low_approved,conf_high_approved,estimate_absolute_difference,standard_error_absolute_difference
CWD,community,cumulative_site_CWD_mm,baseline,Combined saplings + adults,0.000287673508532651,5.60147573361182e-05,5.13567356556518,2.81837717292373e-07,0.000177884826968316,0.000397462190096986,74888,73685,community__CWD,Combined saplings + adults,0.000287673508532651,5.60147573361182e-05,5.13567356556518,2.81837717292373e-07,0.000177884826968316,0.000397462190096986,1.62630325872826e-19,4.06575814682064e-20
CWD,community,disease_cumulative_mortality_pct,baseline,Combined saplings + adults,0.178632370002177,0.0379297440281009,4.7095590697853,2.48697467597888e-06,0.104290236126096,0.252974503878259,74888,73685,community__CWD,Combined saplings + adults,0.178632370002177,0.0379297440281009,4.7095590697853,2.48697467597888e-06,0.104290236126096,0.252974503878259,3.33066907387547e-16,4.16333634234434e-17
CWD,community,fire_cumulative_mortality_pct,baseline,Combined saplings + adults,0.104627870380963,0.0352860801469838,2.96513157440942,0.00302648843309269,0.0354673062520375,0.173788434509888,74888,73685,community__CWD,Combined saplings + adults,0.104627870380963,0.0352860801469838,2.96513157440942,0.00302648843309269,0.0354673062520375,0.173788434509888,4.16333634234434e-17,2.08166817117217e-17
CWD,community,full_survey_period_years,baseline,Combined saplings + adults,-0.0949058213207433,0.0338129194320727,-2.80679169130607,0.00500505102186258,-0.161178996834345,-0.028632645807142,74888,73685,community__CWD,Combined saplings + adults,-0.0949058213207433,0.0338129194320727,-2.80679169130607,0.00500505102186258,-0.161178996834345,-0.028632645807142,1.38777878078145e-17,3.46944695195361e-17
CWD,community,insect_cumulative_mortality_pct,baseline,Combined saplings + adults,0.130925099732772,0.0295175262293753,4.4355037991794,9.1987831564145e-06,0.0730708762766576,0.188779323188886,74888,73685,community__CWD,Combined saplings + adults,0.130925099732772,0.0295175262293753,4.4355037991794,9.1987831564145e-06,0.0730708762766576,0.188779323188886,3.33066907387547e-16,0
CWD,saplings,cumulative_site_CWD_mm,baseline,Saplings,0.000202204936411193,8.88301622811473e-05,2.27630943385215,0.0228317621743091,2.80967446295433e-05,0.000376313128192843,49324,48899,saplings__CWD,Saplings,0.000202204936411193,8.88301622811473e-05,2.27630943385215,0.0228317621743091,2.80967446295433e-05,0.000376313128192843,2.71050543121376e-20,0
CWD,saplings,disease_cumulative_mortality_pct,baseline,Saplings,0.00346681862692178,0.0516918005821541,0.0670670897101358,0.94652856535729,-0.0978497353247821,0.104783372578626,49324,48899,saplings__CWD,Saplings,0.00346681862692178,0.0516918005821541,0.0670670897101358,0.94652856535729,-0.0978497353247821,0.104783372578626,1.73472347597681e-18,3.46944695195361e-17
CWD,saplings,fire_cumulative_mortality_pct,baseline,Saplings,0.0162129467667787,0.0860206425122951,0.18847739674185,0.850503208260451,-0.152388552308609,0.184814445842166,49324,48899,saplings__CWD,Saplings,0.0162129467667787,0.0860206425122951,0.18847739674185,0.850503208260451,-0.152388552308609,0.184814445842166,1.73472347597681e-17,2.77555756156289e-17
CWD,saplings,full_survey_period_years,baseline,Saplings,-0.128253498194698,0.0476206519270754,-2.69323272581613,0.00707867747677432,-0.221590551573538,-0.0349164448158587,49324,48899,saplings__CWD,Saplings,-0.128253498194698,0.0476206519270754,-2.69323272581613,0.00707867747677432,-0.221590551573538,-0.0349164448158587,3.05311331771918e-16,6.93889390390723e-18
CWD,saplings,insect_cumulative_mortality_pct,baseline,Saplings,0.19211466743226,0.0557497297698523,3.44601970673856,0.000569382479034139,0.0828445232235448,0.301384811640976,49324,48899,saplings__CWD,Saplings,0.19211466743226,0.0557497297698523,3.44601970673856,0.000569382479034139,0.0828445232235448,0.301384811640976,4.44089209850063e-16,4.16333634234434e-17
