"site_id","def","pr","tmmn","tmmx"
"188756625020004",385.996666666667,464.166666666667,-4.32277777777778,11.7477777777778
"188756649020004",369.04,562.766666666667,-4.99277777777778,12.0802777777778
"188756650020004",438.166666666667,611.6,-2.20833333333333,13.9136111111111
"188756658020004",834.726666666667,347.2,2.09666666666667,16.9544444444444
"188756662020004",449.093333333333,512.9,-4.06944444444444,14.7838888888889
"188756666020004",332.33,497.2,-7.38027777777778,10.4825
"188756694020004",22.3966666666667,656.566666666667,-3.62527777777778,4.59611111111111
"188756704020004",628.143333333333,411.533333333333,-1.03555555555556,15.0402777777778
"188756707020004",474.95,402.366666666667,-4.36333333333333,12.4
"188756713020004",691.363333333333,406.1,-1.14944444444444,15.3997222222222
"188756726020004",801.596666666667,361.533333333333,-0.158055555555556,16.9227777777778
"188756738020004",401.61,437.266666666667,-5.30472222222222,12.0891666666667
"188756796020004",648.126666666667,276.8,-3.53305555555556,13.5605555555556
"188756805020004",552.36,390.3,-3.81666666666667,14.1138888888889
"188756817020004",582.59,396.966666666667,-2.03166666666667,14.5325
"188756862020004",393.816666666667,468.966666666667,-4.17083333333333,11.5519444444444
"188756883020004",827.79,318.733333333333,1.07027777777778,17.3463888888889
"188756930020004",706.3,391.666666666667,-0.105555555555556,16.0555555555556
"188756936020004",415.76,590.7,-2.34222222222222,13.6958333333333
"188756947020004",593.64,429.066666666667,-2.35388888888889,15.7222222222222
"188756967020004",673.01,387.433333333333,-0.203055555555556,15.3936111111111
"188756993020004",575.13,471.266666666667,-1.79,15.1763888888889
"188757000020004",838.633333333333,355.266666666667,2.165,17.7627777777778
"188757004020004",668.14,337.833333333333,-2.38916666666667,14.4830555555556
"188757005020004",588.326666666667,491.4,-0.273611111111111,15.1011111111111
"188757018020004",30.9566666666667,706.2,-3.10861111111111,4.85805555555556
"188757026020004",650.36,391.7,-2.75138888888889,16.2988888888889
"188757029020004",468.483333333333,424.566666666667,-3.65916666666667,12.5527777777778
"188757080020004",213.616666666667,725.133333333333,-5.715,11.4575
"188757167020004",113.02,825.333333333333,-7.05555555555556,8.40444444444445
"188757203020004",716.723333333333,435.7,-0.707222222222222,17.5355555555556
"188757227020004",363.566666666667,526.466666666667,-5.68694444444444,10.7266666666667
"188757248020004",41.2933333333333,655.3,-3.03777777777778,5.13388888888889
"188757261020004",316.123333333333,494.933333333333,-4.84,9.74
"188757268020004",299.653333333333,497.533333333333,-6.15805555555556,10.4944444444444
"188757271020004",485.35,429.166666666667,-4.32277777777778,12.9011111111111
"188757286020004",480.99,370.1,-4.74277777777778,12.0177777777778
"188757288020004",525.54,323.3,-5.36194444444445,11.7686111111111
"188757300020004",647.726666666667,371.866666666667,-2.2225,14.5752777777778
"188757343020004",478.173333333333,451,-3.31194444444444,13.5366666666667
"188757345020004",324.733333333333,483.933333333333,-4.86277777777778,10.6425
"188757348020004",532.99,441.4,-2.32527777777778,14.1780555555556
"188757353020004",309.71,534.866666666667,-6.1325,9.525
"188757396020004",764.87,409.533333333333,0.178888888888889,16.9794444444444
"188757533020004",818.523333333333,369.4,-0.0661111111111111,16.5516666666667
"188757534020004",41.8033333333333,591.166666666667,-3.28111111111111,5.1325
"188757536020004",614.613333333333,421.5,-1.99277777777778,14.7363888888889
"2847086010690",991.433333333333,302.766666666667,0.333611111111111,17.6213888888889
"2847661010690",855.2,323.766666666667,-1.33333333333333,16.0605555555556
"2847867010690",924.72,303.8,-0.535277777777778,16.9841666666667
"2847913010690",387.64,509.266666666667,-5.35333333333333,9.84111111111111
"2848061010690",1057.38,269.7,0.498333333333333,17.6636111111111
"2848442010690",926.55,315.966666666667,-0.472222222222222,16.9280555555556
"2848484010690",887.753333333333,297,-1.13138888888889,16.6022222222222
"2848501010690",675.11,373.9,-2.90277777777778,14.0197222222222
"2848805010690",756.706666666667,326.6,-2.53222222222222,14.9552777777778
"2848844010690",577.856666666667,401.1,-3.94666666666667,12.6247222222222
"2849054010690",1085.01666666667,267.7,0.904444444444444,17.9130555555556
"2849106010690",963.613333333333,291.966666666667,-0.273055555555556,17.3047222222222
"2849130010690",872.856666666667,294.466666666667,-1.47638888888889,16.3183333333333
"2849169010690",737.986666666667,338.366666666667,-2.74555555555556,14.6758333333333
"2849207010690",470.93,449.6,-4.81638888888889,11.0183333333333
"2849272010690",974.9,304.566666666667,0.0138888888888889,17.3108333333333
"2849297010690",963.613333333333,291.966666666667,-0.273055555555556,17.3047222222222
"2849464010690",650.42,371.833333333333,-3.23,13.7266666666667
"2853482010690",500.5,446.666666666667,-3.21916666666667,11.345
"2853524010690",439.386666666667,427.933333333333,-4.51611111111111,10.1030555555556
"2853569010690",511.19,443.433333333333,-2.95361111111111,11.6797222222222
"2853694010690",512.53,443.666666666667,-2.94638888888889,11.72
"2853709010690",476.23,417.433333333333,-4.03916666666667,10.6711111111111
"2853808010690",531.603333333333,429.266666666667,-2.79166666666667,12.3
"2853836010690",577.516666666667,405.233333333333,-2.4675,13.1388888888889
"2854079010690",467.28,458.4,-3.45527777777778,10.7616666666667
"2854099010690",475.14,448.033333333333,-3.47527777777778,10.9608333333333
"2854161010690",551.116666666667,445.166666666667,-2.22805555555556,12.8472222222222
"2854185010690",589.486666666667,435.866666666667,-1.90277777777778,13.7038888888889
"2854243010690",529.476666666667,392.2,-3.57944444444444,11.5727777777778
"2854375010690",598.82,414.133333333333,-2.55555555555556,13.6961111111111
"2854397010690",508.326666666667,405.066666666667,-3.58111111111111,11.2286111111111
"2854790010690",537.593333333333,444.6,-2.43916666666667,12.5283333333333
"2855092010690",561.716666666667,413.466666666667,-2.4975,12.9702777777778
"2855231010690",15.66,746.033333333333,-3.95611111111111,4.165
"2855410010690",508.326666666667,405.066666666667,-3.58111111111111,11.2286111111111
"2855482010690",440.156666666667,432.233333333333,-4.51861111111111,9.63083333333333
"2855517010690",526.49,471.933333333333,-2.03722222222222,12.6108333333333
"2855681010690",700.65,329.466666666667,0.0475,13.815
"2855711010690",796.62,286.466666666667,0.621944444444445,15.5488888888889
"2855753010690",891.253333333333,246.033333333333,0.948611111111111,17.1947222222222
"2855853010690",611.4,370.733333333333,-0.763611111111111,12.6363888888889
"2855879010690",716.59,327.666666666667,0.356388888888889,14.2327777777778
"2855922010690",838.126666666667,270,0.883611111111111,16.2897222222222
"2855934010690",834.586666666667,274,0.9275,16.1555555555556
"2856098010690",781.62,307.533333333333,0.326666666666667,15.6005555555556
"2856204010690",776.063333333333,304.166666666667,0.806944444444444,15.2191666666667
"2856229010690",742.133333333333,323.333333333333,0.703333333333333,14.8769444444444
"2856322010690",850.24,280.266666666667,1.01083333333333,16.4175
"2856377010690",850.086666666667,274.833333333333,1.04305555555556,16.4019444444444
"2856422010690",631.133333333333,357.9,-0.678333333333333,12.9058333333333
"2856568010690",747.48,325.233333333333,0.832777777777778,14.8875
"2856607010690",746.666666666667,315.7,-0.100833333333333,14.9083333333333
"2856700010690",652.303333333333,365.1,-0.0341666666666667,13.3511111111111
"2857255010690",745.623333333333,340.966666666667,1.12694444444444,14.7577777777778
"2857416010690",912.47,259.266666666667,1.88555555555556,17.3752777777778
"2857444010690",685.216666666667,356.333333333333,0.458888888888889,13.8741666666667
"2857685010690",653.163333333333,265.566666666667,-2.10972222222222,12.7263888888889
"2857893010690",515.526666666667,319.3,-3.37388888888889,10.5158333333333
"2857976010690",115.703333333333,291.233333333333,-8.30388888888889,3.63638888888889
"2858016010690",100.08,307.066666666667,-8.39944444444444,3.49861111111111
"2858049010690",82.7433333333333,338.266666666667,-8.32388888888889,3.44944444444444
"2858116010690",816.793333333333,248.266666666667,-0.855,16.3330555555556
"2858321010690",504.023333333333,320.233333333333,-3.54166666666667,10.3633333333333
