site_id,latitude,longitude,source
3634730010690,38.066803,-106.829072,FIA
3634779010690,38.016751,-106.982551,FIA
3635367010690,38.13465,-108.221302,FIA
3635517010690,38.100853,-108.164431,FIA
3635551010690,38.046103,-108.367083,FIA
3635611010690,38.064343,-108.336796,FIA
3635774010690,38.016082,-108.314627,FIA
3149264010690,45.102712,-116.291728,FIA
3149459010690,45.020871,-116.304163,FIA
3149639010690,44.921971,-116.186257,FIA
3149662010690,44.876522,-116.254001,FIA
3149687010690,44.841575,-116.673281,FIA
3151049010690,42.66171,-111.970818,FIA
3151384010690,42.549391,-112.044592,FIA
3151480010690,42.496473,-112.020589,FIA
3154314010690,42.183887,-111.482716,FIA
3156095010690,47.405294,-116.537126,FIA
3623859010690,38.446219,-108.176159,FIA
3623926010690,38.424175,-109.037214,FIA
3623942010690,38.413653,-108.529002,FIA
3624056010690,38.425191,-108.436977,FIA
3624462010690,38.411827,-108.207273,FIA
3624631010690,38.390511,-109.047038,FIA
3624734010690,38.380899,-108.430529,FIA
3624766010690,38.379681,-108.375628,FIA
3625080010690,38.335378,-108.40926,FIA
3625165010690,38.320905,-108.366314,FIA
3625258010690,38.319685,-108.312604,FIA
3625476010690,38.292352,-108.37878,FIA
3625513010690,38.292704,-108.314744,FIA
3625613010690,38.267842,-108.252802,FIA
3625627010690,38.287875,-108.185742,FIA
3626027010690,38.175691,-108.093046,FIA
3626078010690,38.440195,-109.025323,FIA
3626105010690,38.405678,-109.009085,FIA
3626967010690,38.264939,-108.023208,FIA
3632211010690,38.392544,-106.480002,FIA
3632465010690,38.350575,-106.835041,FIA
3633620010690,38.242462,-106.833463,FIA
3633649010690,38.262107,-106.726519,FIA
3633679010690,38.249567,-106.6588,FIA
3633859010690,38.213547,-106.591736,FIA
3634572010690,38.075941,-106.987762,FIA
3591515010690,38.949371,-107.532298,FIA
3597734010690,39.103429,-107.483528,FIA
3597848010690,39.111629,-107.311433,FIA
3598034010690,39.050448,-107.307126,FIA
3598487010690,38.968848,-107.240999,FIA
3598499010690,38.966958,-107.198237,FIA
3598526010690,38.957913,-107.151798,FIA
3598930010690,38.910919,-107.434065,FIA
3599032010690,38.907484,-107.245988,FIA
3600756010690,38.837186,-107.293313,FIA
3601039010690,38.83815,-106.941967,FIA
3602657010690,38.739981,-107.465064,FIA
3602687010690,38.74137,-107.398387,FIA
3602712010690,38.723924,-107.3702,FIA
3602953010690,38.756621,-106.740666,FIA
3604014010690,38.643292,-107.302056,FIA
3604881010690,38.604142,-107.367403,FIA
3605098010690,38.601917,-107.056155,FIA
3605183010690,38.62049,-106.683387,FIA
3605623010690,38.554531,-107.232669,FIA
3605639010690,38.571154,-107.163169,FIA
3605755010690,38.568066,-107.085031,FIA
3606279010690,38.533984,-106.552877,FIA
3606578010690,38.477789,-106.437034,FIA
3606887010690,38.425965,-106.47381,FIA
3607388010690,38.242581,-107.508725,FIA
3607713010690,38.247923,-107.291816,FIA
3608294010690,38.154426,-107.326543,FIA
3608751010690,38.066718,-107.052484,FIA
3621208010690,38.51915,-109.058723,FIA
3623072010690,38.502688,-108.201471,FIA
3623221010690,38.472256,-109.056543,FIA
3623302010690,38.452307,-108.656018,FIA
3623392010690,38.467066,-108.540932,FIA
3623672010690,38.446661,-108.349142,FIA
3623743010690,38.466583,-108.314031,FIA
3156197010690,47.412374,-116.330274,FIA
3156221010690,47.354,-116.913622,FIA
3156272010690,47.275954,-116.600394,FIA
3327326010690,44.986142,-113.972871,FIA
3327419010690,44.937171,-113.772626,FIA
3327462010690,44.946724,-113.71224,FIA
3327514010690,44.953546,-113.491969,FIA
3330392010690,44.532566,-113.714318,FIA
3332050010690,46.40912,-116.212544,FIA
3332150010690,46.33475,-116.418903,FIA
3332245010690,46.286009,-116.595966,FIA
3332321010690,46.265537,-116.145831,FIA
3337094010690,43.097867,-116.803127,FIA
3337353010690,42.986626,-116.614583,FIA
3337494010690,42.941797,-116.678602,FIA
3344541010690,42.567324,-112.722286,FIA
3344690010690,42.47739,-112.652905,FIA
3350180010690,47.535216,-116.259622,FIA
3350493010690,47.538319,-115.867598,FIA
3350787010690,47.627845,-115.737888,FIA
3363740010690,44.973057,-116.04096,FIA
3364619010690,44.886077,-116.165309,FIA
3364653010690,44.882746,-116.00701,FIA
3365222010690,44.843507,-116.050707,FIA
3367863010690,44.653106,-116.106796,FIA
3368494010690,44.571862,-115.973283,FIA
3369000010690,44.616959,-115.98257,FIA
3369018010690,44.563321,-115.925581,FIA
3369516010690,44.530193,-115.94507,FIA
3369953010690,44.476838,-115.919627,FIA
3371042010690,44.376862,-116.014357,FIA
3371483010690,44.353703,-116.043605,FIA
3371947010690,44.287504,-115.988278,FIA
2945881010690,45.72786,-112.86945,FIA
2945897010690,45.735291,-112.799003,FIA
2946180010690,45.678489,-113.119483,FIA
2946622010690,45.638589,-112.933202,FIA
2946653010690,45.640785,-112.855003,FIA
3332522010690,46.099064,-116.67884,FIA
3333731010690,43.666393,-111.618472,FIA
3334226010690,46.552257,-116.55486,FIA
3334352010690,46.472529,-116.663623,FIA
3334491010690,46.372497,-116.621332,FIA
3334795010690,46.06344,-116.870398,FIA
3335437010690,42.214328,-112.460665,FIA
3350856010690,47.498423,-115.929531,FIA
3350943010690,47.491408,-115.85533,FIA
3351009010690,47.445303,-116.140181,FIA
3352134010690,47.34998,-116.14835,FIA
3352623010690,47.322816,-116.25333,FIA
3355334010690,47.170017,-116.149912,FIA
3355387010690,47.171202,-116.07072,FIA
3355789010690,47.180009,-115.683871,FIA
3356173010690,47.134959,-116.287611,FIA
3156420010690,47.304541,-116.994396,FIA
3156694010690,47.264848,-116.84767,FIA
3156722010690,47.276466,-116.796072,FIA
3156764010690,47.279786,-116.674412,FIA
3156815010690,47.358747,-116.60242,FIA
3157063010690,47.22709,-116.878159,FIA
3157085010690,47.222507,-116.81477,FIA
3157164010690,47.231328,-116.468625,FIA
3157541010690,47.147036,-116.916591,FIA
3157712010690,47.134089,-116.457726,FIA
3157771010690,47.142893,-116.351563,FIA
3159350010690,43.268524,-111.875666,FIA
3159545010690,43.220907,-111.86144,FIA
3164442010690,43.558739,-114.226323,FIA
3170067010690,44.14673,-116.055705,FIA
3170759010690,44.103671,-116.193833,FIA
3170850010690,44.147592,-115.948157,FIA
3171348010690,44.079302,-116.185421,FIA
3173383010690,43.88115,-116.058663,FIA
3173419010690,43.888701,-115.993805,FIA
3173436010690,43.89004,-115.942738,FIA
3173508010690,43.899597,-115.815561,FIA
3174553010690,43.707857,-116.009246,FIA
3174681010690,43.664481,-115.991355,FIA
3174804010690,43.624206,-116.019297,FIA
3180121010690,48.57121,-116.80042,FIA
3180769010690,48.494213,-116.391948,FIA
3181022010690,48.475345,-116.117501,FIA
3181267010690,48.448856,-116.800896,FIA
3181408010690,48.435717,-116.592742,FIA
3181474010690,48.436331,-116.518377,FIA
3183461010690,48.31878,-116.599068,FIA
3183929010690,48.25811,-116.794898,FIA
3184324010690,48.072947,-117.017142,FIA
3184878010690,48.159165,-116.808743,FIA
3184923010690,48.156552,-116.526384,FIA
3185031010690,48.162003,-116.207611,FIA
3185306010690,48.038931,-116.591863,FIA
3185620010690,48.077348,-116.847983,FIA
3185743010690,48.090445,-116.661283,FIA
3186155010690,48.022563,-117.003714,FIA
3186222010690,48.205112,-116.850293,FIA
3186261010690,48.024004,-116.712685,FIA
3186277010690,48.024829,-116.684516,FIA
3186724010690,48.024223,-116.071588,FIA
3186955010690,47.997818,-116.677979,FIA
3191463010690,48.930593,-116.401691,FIA
3193488010690,48.842815,-116.310059,FIA
3195284010690,48.648958,-116.39281,FIA
3195989010690,48.626905,-116.056511,FIA
3197029010690,48.526885,-116.448444,FIA
3197062010690,48.518481,-116.387596,FIA
3197101010690,48.523443,-116.310338,FIA
3197319010690,48.533476,-116.073146,FIA
3198748010690,43.728755,-113.467891,FIA
3201587010690,43.609192,-114.715939,FIA
3202082010690,43.432944,-114.727524,FIA
3202106010690,43.427277,-114.669671,FIA
3204845010690,42.903564,-111.787186,FIA
3206171010690,42.728681,-111.497917,FIA
3206400010690,42.678448,-111.906391,FIA
3215149010690,46.918022,-116.147339,FIA
3215291010690,46.910621,-115.820486,FIA
3217461010690,46.829454,-116.220854,FIA
3218866010690,46.772348,-116.162737,FIA
3218987010690,46.764772,-115.904865,FIA
3220188010690,46.717779,-116.08769,FIA
3222914010690,46.633283,-115.894455,FIA
3224084010690,46.588546,-116.02198,FIA
3224119010690,46.600764,-115.88206,FIA
3225310010690,46.864076,-116.285954,FIA
3225430010690,46.549184,-115.947033,FIA
3226021010690,46.513178,-116.298378,FIA
3226065010690,46.502264,-116.035257,FIA
3226080010690,46.499985,-116.207321,FIA
3227402010690,46.318567,-115.83197,FIA
3234924010690,44.406867,-114.226713,FIA
3236624010690,44.34356,-114.178263,FIA
3237877010690,44.318658,-114.500483,FIA
3240179010690,44.222793,-113.520987,FIA
3261458010690,43.535085,-115.519492,FIA
3261863010690,43.4706,-115.411032,FIA
3262664010690,43.389198,-115.450201,FIA
3262727010690,43.439825,-115.33646,FIA
3268177010690,42.011503,-111.733422,FIA
3269600010690,44.221312,-111.56165,FIA
3274264010690,46.492033,-115.370888,FIA
3284196010690,46.176437,-116.033206,FIA
3284358010690,46.191406,-115.896873,FIA
3286341010690,46.0197,-115.918383,FIA
3287680010690,46.09596,-116.098006,FIA
3289295010690,46.064756,-116.423042,FIA
3289716010690,46.055732,-115.829773,FIA
3291175010690,46.002177,-115.970385,FIA
3291209010690,46.1357,-115.816427,FIA
3292692010690,45.872284,-116.041076,FIA
3292816010690,45.961451,-116.048573,FIA
3294100010690,45.943672,-114.816774,FIA
3294150010690,45.938044,-114.668639,FIA
3294303010690,45.918419,-116.501934,FIA
3294440010690,45.929043,-116.047837,FIA
3295590010690,45.907181,-114.886541,FIA
3295645010690,45.910246,-114.810349,FIA
3295684010690,45.89231,-114.676999,FIA
3295911010690,45.876307,-116.54741,FIA
3295972010690,45.888574,-116.46998,FIA
3297981010690,45.85186,-114.864165,FIA
3298049010690,45.861174,-114.740134,FIA
3299122010690,45.825405,-115.525632,FIA
3300269010690,45.797777,-114.632035,FIA
3304414010690,45.722672,-114.887088,FIA
3304744010690,45.713606,-114.609898,FIA
3307504010690,45.672444,-114.896683,FIA
3307735010690,45.664568,-114.676174,FIA
3310215010690,45.62222,-114.674078,FIA
3312186010690,45.585777,-114.931973,FIA
3312433010690,45.58461,-114.639739,FIA
3313891010690,45.54117,-114.954105,FIA
3315028010690,45.502888,-114.878689,FIA
3315568010690,45.459688,-114.879032,FIA
3316269010690,45.343919,-116.286172,FIA
3317442010690,47.988945,-116.541186,FIA
3317516010690,47.943241,-116.816241,FIA
3317532010690,47.886538,-116.804403,FIA
3317666010690,47.899278,-116.928784,FIA
3317682010690,47.944673,-116.656883,FIA
3317704010690,47.911423,-116.670484,FIA
3317810010690,47.86688,-116.918132,FIA
3317849010690,47.84337,-116.816594,FIA
3317877010690,47.868352,-116.713545,FIA
3319121010690,47.709141,-116.731746,FIA
3319441010690,47.678846,-116.942408,FIA
3319748010690,47.635671,-116.990378,FIA
3319766010690,47.638348,-116.927807,FIA
3319790010690,47.630676,-116.661598,FIA
3320093010690,47.58527,-116.943838,FIA
3320109010690,47.526818,-116.549344,FIA
3320764010690,47.532933,-116.327414,FIA
3320803010690,47.500679,-116.925336,FIA
3320827010690,47.484333,-116.799257,FIA
3320900010690,47.406951,-116.800874,FIA
3320917010690,47.497057,-116.532338,FIA
3320952010690,47.498647,-116.483197,FIA
3321111010690,47.44879,-116.620314,FIA
3321136010690,47.462811,-116.519373,FIA
3321166010690,47.446465,-116.485034,FIA
3321327010690,47.404909,-116.690874,FIA
3321607010690,47.013541,-116.719448,FIA
3321845010690,46.985631,-116.463174,FIA
3322467010690,46.918408,-116.860472,FIA
3322489010690,46.864484,-116.945894,FIA
3322992010690,46.919216,-116.798742,FIA
3323054010690,46.863121,-116.669065,FIA
3323705010690,46.819081,-116.688999,FIA
3323738010690,46.81592,-116.550069,FIA
3323938010690,46.766206,-116.786217,FIA
3323957010690,46.784877,-116.686576,FIA
3324186010690,46.767302,-116.356645,FIA
3324301010690,46.720677,-116.590117,FIA
3324497010690,46.678476,-116.406077,FIA
3324613010690,46.629619,-116.546389,FIA
3324645010690,46.647263,-116.463916,FIA
3324662010690,46.635254,-116.401323,FIA
3325790010690,45.257252,-113.75121,FIA
3325988010690,45.206238,-114.11681,FIA
2946764010690,45.587236,-113.366035,FIA
2947096010690,45.589319,-112.864845,FIA
2948770010690,45.422315,-112.838887,FIA
2950115010690,45.128735,-113.466529,FIA
2951263010690,44.876356,-113.172111,FIA
2951487010690,44.820125,-112.891731,FIA
2951606010690,44.787834,-113.091673,FIA
2952017010690,44.743936,-112.202072,FIA
2952049010690,44.69422,-112.883838,FIA
2952148010690,44.702632,-111.62687,FIA
2952158010690,44.705649,-111.56631,FIA
2952408010690,44.59542,-112.696689,FIA
2945308010690,45.762923,-112.871907,FIA
2950022010690,45.188829,-112.967565,FIA
2950672010690,45.020878,-112.659713,FIA
2950934010690,44.956091,-112.528524,FIA
2951702010690,44.774008,-112.331608,FIA
2951938010690,45.266147,-113.171642,FIA
2952655010690,44.557495,-111.801588,FIA
2954567010690,45.228412,-106.919002,FIA
2953699010690,45.632592,-106.808273,FIA
2953995010690,45.509356,-106.803049,FIA
2953899010690,45.554585,-106.845492,FIA
2954219010690,45.3649,-106.991284,FIA
2954093010690,45.453997,-107.092896,FIA
2954526010690,45.310966,-107.087632,FIA
2954826010690,45.318926,-107.045817,FIA
2956206010690,48.200379,-109.461195,FIA
2956464010690,48.298118,-109.504105,FIA
2956569010690,48.014303,-108.583004,FIA
2956742010690,47.882877,-109.403745,FIA
2956760010690,47.853178,-109.40332,FIA
2956782010690,47.896225,-109.21067,FIA
2957511010690,46.415161,-111.267532,FIA
2957187010690,46.601754,-111.457773,FIA
2957792010690,46.318143,-111.664536,FIA
2958145010690,46.504102,-111.327921,FIA
2959038010690,45.159714,-108.388657,FIA
2959229010690,45.120697,-108.375181,FIA
2959373010690,45.103968,-109.297498,FIA
2958285010690,45.548713,-109.075302,FIA
2959248010690,45.11523,-108.333478,FIA
2960679010690,45.513378,-104.306614,FIA
2960218010690,45.834421,-104.414655,FIA
2960302010690,45.7828,-104.542554,FIA
2960367010690,45.75087,-104.681671,FIA
2960464010690,45.681202,-104.228778,FIA
2960558010690,45.597385,-104.21326,FIA
2960574010690,45.60616,-104.181078,FIA
2960640010690,45.556132,-104.111336,FIA
2960260010690,45.79449,-104.919464,FIA
2961996010690,47.213149,-111.864479,FIA
2962219010690,46.996407,-111.714981,FIA
2962373010690,47.134516,-110.941444,FIA
2962418010690,47.089352,-111.203683,FIA
2962524010690,47.094935,-110.982335,FIA
2962553010690,47.099424,-110.948071,FIA
2962570010690,47.097554,-110.862419,FIA
2962785010690,47.033428,-111.266647,FIA
2962808010690,47.05173,-111.049496,FIA
2962992010690,47.047834,-110.733527,FIA
2963009010690,47.057598,-110.680808,FIA
2962720010690,47.168723,-111.020578,FIA
2963858010690,48.124346,-109.717456,FIA
2964884010690,47.49736,-110.597156,FIA
2963726010690,48.170793,-109.768755,FIA
2963640010690,48.211514,-109.790663,FIA
