column,post_2015,pre_2015
OBSERVATION_ID,TRUE,TRUE
DAMAGE_AREA_ID,TRUE,TRUE
SURVEY_YEAR,TRUE,TRUE
REGION_ID,TRUE,TRUE
HOST_CODE,TRUE,TRUE
DCA_CODE,TRUE,TRUE
DAMAGE_TYPE_CODE,TRUE,TRUE
ACRES,TRUE,TRUE
AREA_TYPE,TRUE,TRUE
OBSERVATION_COUNT,TRUE,TRUE
PERCENT_AFFECTED_CODE,TRUE,TRUE
PERCENT_MID,TRUE,TRUE
LEGACY_TPA,TRUE,TRUE
LEGACY_NO_TREES,TRUE,TRUE
LEGACY_SEVERITY_CODE,TRUE,TRUE
SOURCE_FILE,TRUE,TRUE
