response,group,term,scenario,group_label_robustness,estimate_robustness,std_error_robustness,statistic_robustness,p_value_robustness,conf_low_robustness,conf_high_robustness,n,stable_plots,model_id,group_label_approved,estimate_approved,std_error_approved,statistic_approved,p_value_approved,conf_low_approved,conf_high_approved,estimate_absolute_difference,standard_error_absolute_difference
CWD,community,cumulative_site_CWD_mm,baseline,Pooled all live,0.000239294330150367,5.63763699385909e-05,4.24458563775964,2.19251574311719e-05,0.000128796953409171,0.000349791706891562,77669,76422,community__CWD,Pooled all live,0.000239294330150367,5.63763699385909e-05,4.24458563775963,2.19251574311724e-05,0.000128796953409171,0.000349791706891562,5.42101086242752e-20,2.03287907341032e-20
CWD,community,disease_cumulative_mortality_pct,baseline,Pooled all live,0.0804777086559402,0.0347053040144871,2.31888787438215,0.0204036986410659,0.0124555026007492,0.148499914711131,77669,76422,community__CWD,Pooled all live,0.0804777086559401,0.0347053040144871,2.31888787438215,0.020403698641066,0.0124555026007491,0.148499914711131,8.32667268468867e-17,0
CWD,community,fire_cumulative_mortality_pct,baseline,Pooled all live,-0.112661501828298,0.0333717640879024,-3.37595284239525,0.000735965516254312,-0.178069976920893,-0.0472530267357028,77669,76422,community__CWD,Pooled all live,-0.112661501828298,0.0333717640879024,-3.37595284239525,0.000735965516254321,-0.178069976920893,-0.0472530267357026,2.77555756156289e-17,4.85722573273506e-17
CWD,community,full_survey_period_years,baseline,Pooled all live,-0.0938275898931709,0.0377154965295993,-2.48777289249088,0.0128566599231823,-0.167749756814381,-0.0199054229719611,77669,76422,community__CWD,Pooled all live,-0.0938275898931709,0.0377154965295992,-2.48777289249089,0.012856659923182,-0.16774975681438,-0.0199054229719614,4.16333634234434e-17,1.04083408558608e-16
CWD,community,insect_cumulative_mortality_pct,baseline,Pooled all live,0.0149680041977463,0.0336747122892258,0.444487960852906,0.656691069714188,-0.0510342477125326,0.0809702561080252,77669,76422,community__CWD,Pooled all live,0.0149680041977463,0.0336747122892258,0.444487960852906,0.656691069714188,-0.0510342477125326,0.0809702561080252,1.56125112837913e-17,6.93889390390723e-18
CWD,saplings,cumulative_site_CWD_mm,baseline,Saplings,0.000217896279716769,8.08099904358677e-05,2.69640274106573,0.00701161186158076,5.9507809443495e-05,0.000376284749990042,50463,50031,saplings__CWD,Saplings,0.000217896279716769,8.08099904358677e-05,2.69640274106572,0.00701161186158083,5.95078094434948e-05,0.000376284749990042,2.98155597433514e-19,5.42101086242752e-20
CWD,saplings,disease_cumulative_mortality_pct,baseline,Saplings,0.00623781649819615,0.0505784416459183,0.12332955099457,0.901846632365392,-0.0928964855589332,0.105372118555326,50463,50031,saplings__CWD,Saplings,0.00623781649819615,0.0505784416459183,0.12332955099457,0.901846632365392,-0.0928964855589332,0.105372118555326,8.67361737988404e-19,0
CWD,saplings,fire_cumulative_mortality_pct,baseline,Saplings,0.00274429505341308,0.0827786000457265,0.0331522283766232,0.973553324525841,-0.159502671712547,0.164991261819373,50463,50031,saplings__CWD,Saplings,0.00274429505341309,0.0827786000457265,0.0331522283766233,0.97355332452584,-0.159502671712547,0.164991261819373,1.30104260698261e-17,1.38777878078145e-17
CWD,saplings,full_survey_period_years,baseline,Saplings,-0.123999933545565,0.0471127288469283,-2.63198368212649,0.00849137711193268,-0.216341400389156,-0.0316584667019753,50463,50031,saplings__CWD,Saplings,-0.123999933545565,0.0471127288469283,-2.63198368212649,0.0084913771119327,-0.216341400389156,-0.0316584667019753,4.30211422042248e-16,6.93889390390723e-18
CWD,saplings,insect_cumulative_mortality_pct,baseline,Saplings,0.194713906363038,0.055360330874062,3.51720994598079,0.000436491657067091,0.0862070488115111,0.303220763914565,50463,50031,saplings__CWD,Saplings,0.194713906363038,0.055360330874062,3.51720994598079,0.000436491657067091,0.0862070488115111,0.303220763914565,2.22044604925031e-16,2.08166817117217e-17
CWD,seedlings,cumulative_site_CWD_mm,baseline,Seedlings,0.000177819266722677,0.000100170508513212,1.77516585831471,0.0758756257552988,-1.85153236296673e-05,0.000374153857075021,59395,58711,seedlings__CWD,Seedlings,0.000177819266722677,0.000100170508513212,1.7751658583147,0.0758756257552989,-1.85153236296674e-05,0.000374153857075021,2.71050543121376e-20,2.84603070277445e-19
