scenario,response,group,group_label,term,estimate,std_error,statistic,p_value,conf_low,conf_high,n,stable_plots
baseline,CWD,community,Pooled all live,cumulative_site_CWD_mm,0.000239294330150367,5.63763699385909e-05,4.24458563775964,2.19251574311719e-05,0.000128796953409171,0.000349791706891562,77669,76422
baseline,CWD,community,Pooled all live,disease_cumulative_mortality_pct,0.0804777086559402,0.0347053040144871,2.31888787438215,0.0204036986410659,0.0124555026007492,0.148499914711131,77669,76422
baseline,CWD,community,Pooled all live,fire_cumulative_mortality_pct,-0.112661501828298,0.0333717640879024,-3.37595284239525,0.000735965516254312,-0.178069976920893,-0.0472530267357028,77669,76422
baseline,CWD,community,Pooled all live,full_survey_period_years,-0.0938275898931709,0.0377154965295993,-2.48777289249088,0.0128566599231823,-0.167749756814381,-0.0199054229719611,77669,76422
baseline,CWD,community,Pooled all live,insect_cumulative_mortality_pct,0.0149680041977463,0.0336747122892258,0.444487960852906,0.656691069714188,-0.0510342477125326,0.0809702561080252,77669,76422
mean_monthly_CWD,CWD,community,Pooled all live,disease_cumulative_mortality_pct,0.0825616900928073,0.034709449157554,2.37865169562447,0.0173784886653543,0.014531359579876,0.150592020605739,77669,76422
mean_monthly_CWD,CWD,community,Pooled all live,fire_cumulative_mortality_pct,-0.11149228866251,0.033332669639032,-3.34483525831829,0.000823704166873635,-0.176824138849138,-0.0461604384758819,77669,76422
mean_monthly_CWD,CWD,community,Pooled all live,full_survey_period_years,-0.024030687260416,0.0397264114567286,-0.604904555413748,0.545244183494078,-0.101894236440532,0.0538328619197,77669,76422
mean_monthly_CWD,CWD,community,Pooled all live,insect_cumulative_mortality_pct,0.0174710154958366,0.0336057751801566,0.519881341887712,0.603147762332252,-0.0483961200577034,0.0833381510493766,77669,76422
mean_monthly_CWD,CWD,community,Pooled all live,mean_monthly_site_CWD_mm,0.0362138637986162,0.00804232965529358,4.50290716133225,6.71275296078643e-06,0.0204509416600349,0.0519767859371975,77669,76422
no_survey_period,CWD,community,Pooled all live,cumulative_site_CWD_mm,0.000240232091031424,5.63749912689739e-05,4.26132378247722,2.03458677550173e-05,0.000129737416497311,0.000350726765565537,77669,76422
no_survey_period,CWD,community,Pooled all live,disease_cumulative_mortality_pct,0.0765492074252366,0.0345703152918214,2.21430457833708,0.0268107264594741,0.00879157854177566,0.144306836308698,77669,76422
no_survey_period,CWD,community,Pooled all live,fire_cumulative_mortality_pct,-0.111457687070211,0.0333820391917404,-3.33885196257839,0.000841649270951496,-0.176886301297002,-0.0460290728434209,77669,76422
no_survey_period,CWD,community,Pooled all live,insect_cumulative_mortality_pct,0.0155637178122578,0.033657874771925,0.462409403972231,0.643789052234552,-0.0504055326429624,0.081532968267478,77669,76422
baseline,CWD,saplings,Saplings,cumulative_site_CWD_mm,0.000217896279716769,8.08099904358677e-05,2.69640274106573,0.00701161186158076,5.9507809443495e-05,0.000376284749990042,50463,50031
baseline,CWD,saplings,Saplings,disease_cumulative_mortality_pct,0.00623781649819615,0.0505784416459183,0.12332955099457,0.901846632365392,-0.0928964855589332,0.105372118555326,50463,50031
baseline,CWD,saplings,Saplings,fire_cumulative_mortality_pct,0.00274429505341308,0.0827786000457265,0.0331522283766232,0.973553324525841,-0.159502671712547,0.164991261819373,50463,50031
baseline,CWD,saplings,Saplings,full_survey_period_years,-0.123999933545565,0.0471127288469283,-2.63198368212649,0.00849137711193268,-0.216341400389156,-0.0316584667019753,50463,50031
baseline,CWD,saplings,Saplings,insect_cumulative_mortality_pct,0.194713906363038,0.055360330874062,3.51720994598079,0.000436491657067091,0.0862070488115111,0.303220763914565,50463,50031
mean_monthly_CWD,CWD,saplings,Saplings,disease_cumulative_mortality_pct,0.00865045928975958,0.0505964424561619,0.170969713873749,0.864248265312276,-0.0905191245534804,0.107820043133,50463,50031
mean_monthly_CWD,CWD,saplings,Saplings,fire_cumulative_mortality_pct,0.0048410436584821,0.0827259368033577,0.0585190551542429,0.953335416422074,-0.157302702573068,0.166984789890032,50463,50031
mean_monthly_CWD,CWD,saplings,Saplings,full_survey_period_years,-0.0784327834849045,0.0491464950634877,-1.59589780275449,0.110517874868178,-0.174760454487125,0.0178948875173156,50463,50031
mean_monthly_CWD,CWD,saplings,Saplings,insect_cumulative_mortality_pct,0.196867897521542,0.0553823284100387,3.55470604384806,0.000378747605618771,0.0883179245574984,0.305417870485586,50463,50031
mean_monthly_CWD,CWD,saplings,Saplings,mean_monthly_site_CWD_mm,0.0293349370267233,0.010641006193327,2.75678225289628,0.00583941793048494,0.00847844782237088,0.0501914262310757,50463,50031
no_survey_period,CWD,saplings,Saplings,cumulative_site_CWD_mm,0.000222234001875095,8.08240445070809e-05,2.74960258708193,0.00596888167947119,6.38179855429428e-05,0.000380650018207246,50463,50031
no_survey_period,CWD,saplings,Saplings,disease_cumulative_mortality_pct,-0.000154738911232534,0.0504213598270663,-0.00306891586746675,0.99755137538669,-0.0989811588283161,0.098671681005851,50463,50031
no_survey_period,CWD,saplings,Saplings,fire_cumulative_mortality_pct,0.0035418107886087,0.0828024883739728,0.0427742071302533,0.965881694143669,-0.158751977286361,0.165835598863578,50463,50031
no_survey_period,CWD,saplings,Saplings,insect_cumulative_mortality_pct,0.19492297402481,0.0553378531559084,3.52241662638475,0.000428009116155673,0.086460173099714,0.303385774949906,50463,50031
baseline,CWD,seedlings,Seedlings,cumulative_site_CWD_mm,0.000177819266722677,0.000100170508513212,1.77516585831471,0.0758756257552988,-1.85153236296673e-05,0.000374153857075021,59395,58711
baseline,CWD,seedlings,Seedlings,disease_cumulative_mortality_pct,0.0340918186036687,0.0431300219998634,0.790442875354357,0.42927232725664,-0.0504431940154784,0.118626831222816,59395,58711
