model_id,group,group_label,response,term,estimate,std_error,statistic,p_value,conf_low,conf_high
seedlings__temperature,seedlings,Seedlings,temperature,(Intercept),-0.0274541370461591,0.0146594622632408,-1.87279291376202,0.0611018956941863,-0.0561867406932635,0.00127846660094539
seedlings__temperature,seedlings,Seedlings,temperature,fire_cumulative_mortality_pct,-0.000718540353677014,0.00042439824337649,-1.69308041418915,0.0904454064184868,-0.00155036257856457,0.000113281871210537
seedlings__temperature,seedlings,Seedlings,temperature,insect_cumulative_mortality_pct,-0.000488754538064454,0.000568831358292132,-0.859225728222681,0.390219459488461,-0.00160366623580354,0.000626157159674634
seedlings__temperature,seedlings,Seedlings,temperature,disease_cumulative_mortality_pct,0.000327389608039138,0.000682106930048107,0.47996815985442,0.631251801272596,-0.00100954265551053,0.00166432187158881
seedlings__temperature,seedlings,Seedlings,temperature,cumulative_site_CWD_mm,-5.50318618138193e-06,1.08608069797456e-06,-5.06701407330493,4.05313274096757e-07,-7.63190861766963e-06,-3.37446374509423e-06
seedlings__temperature,seedlings,Seedlings,temperature,full_survey_period_years,0.00835365283528453,0.00105545250030417,7.91475962478376,2.51986450158271e-15,0.00628496178679849,0.0104223438837706
saplings__temperature,saplings,Saplings,temperature,(Intercept),-0.0349703556650624,0.0134661387545026,-2.59691039150844,0.009409374866389,-0.0613641357695907,-0.00857657556053423
saplings__temperature,saplings,Saplings,temperature,fire_cumulative_mortality_pct,0.000580601432948434,0.000876267179036537,0.662584936236924,0.507599446911193,-0.00113689187808495,0.00229809474398181
saplings__temperature,saplings,Saplings,temperature,insect_cumulative_mortality_pct,0.00188231791074236,0.000811030908174449,2.32089540826412,0.020296454211237,0.000292688408285709,0.00347194741319901
saplings__temperature,saplings,Saplings,temperature,disease_cumulative_mortality_pct,0.00151282320067383,0.000834155442806337,1.81359866883355,0.069745473587246,-0.000122130644062412,0.00314777704541008
saplings__temperature,saplings,Saplings,temperature,cumulative_site_CWD_mm,-5.44127661629375e-06,1.01387556813807e-06,-5.36680909106664,8.04944247367235e-08,-7.42848388384415e-06,-3.45406934874334e-06
saplings__temperature,saplings,Saplings,temperature,full_survey_period_years,0.00640100334108089,0.00108178412843585,5.91708010204966,3.29815663725974e-09,0.00428069454826101,0.00852131213390077
trees__temperature,trees,Adults,temperature,(Intercept),-0.0548259704987069,0.00729187798635797,-7.51877233838501,5.59142764275033e-14,-0.0691180225753679,-0.0405339184220459
trees__temperature,trees,Adults,temperature,fire_cumulative_mortality_pct,0.0010179412311086,0.000288668022074199,3.52633874647516,0.000421602466330254,0.000452153047040011,0.00158372941517718
trees__temperature,trees,Adults,temperature,insect_cumulative_mortality_pct,0.00169259075289167,0.000401090794025886,4.2199690895484,2.44626655971298e-05,0.000906454379461972,0.00247872712632136
trees__temperature,trees,Adults,temperature,disease_cumulative_mortality_pct,0.000259678995623822,0.000384035156050748,0.676185478158427,0.498925005348587,-0.000493028394682815,0.00101238638593046
trees__temperature,trees,Adults,temperature,cumulative_site_CWD_mm,-1.50687434133757e-06,6.05227906368649e-07,-2.48976348493046,0.0127849914121605,-2.69311864935425e-06,-3.20630033320901e-07
trees__temperature,trees,Adults,temperature,full_survey_period_years,0.00772037906757751,0.000612827482299112,12.5979648279045,2.36137706748679e-36,0.00651923962072803,0.008921518514427
community__temperature,community,Pooled all live,temperature,(Intercept),-0.0482404926035342,0.00962108904659095,-5.01403659917557,5.34168853298215e-07,-0.0670977745143731,-0.0293832106926954
community__temperature,community,Pooled all live,temperature,fire_cumulative_mortality_pct,4.18557506382089e-05,0.000307464041436646,0.13613218131992,0.891717140156971,-0.000560772088969103,0.000644483590245521
community__temperature,community,Pooled all live,temperature,insect_cumulative_mortality_pct,0.000612658402981776,0.000449712363038445,1.36233391237546,0.17309648066998,-0.000268775368968428,0.00149409217493198
community__temperature,community,Pooled all live,temperature,disease_cumulative_mortality_pct,0.00130913125314078,0.00046637231651818,2.80705180554976,0.00500096544772157,0.000395044063488331,0.00222321844279323
community__temperature,community,Pooled all live,temperature,cumulative_site_CWD_mm,-1.98946986624038e-06,6.89704498076025e-07,-2.88452499844518,0.00392112389669243,-3.34128691027882e-06,-6.37652822201934e-07
community__temperature,community,Pooled all live,temperature,full_survey_period_years,0.00776778548406274,0.000714965120758822,10.8645656389762,1.77956527478487e-27,0.00636645775772356,0.00916911321040192
seedlings__precipitation,seedlings,Seedlings,precipitation,(Intercept),2.0720826975441,0.981101443045494,2.11199638144657,0.0346909237195105,0.149120013482008,3.99504538160618
seedlings__precipitation,seedlings,Seedlings,precipitation,fire_cumulative_mortality_pct,0.121726076034145,0.048794393831753,2.49467339329732,0.0126100063056365,0.0260888723637196,0.217363279704571
seedlings__precipitation,seedlings,Seedlings,precipitation,insect_cumulative_mortality_pct,-0.0234185454983736,0.0375393713172345,-0.623839576333609,0.532735341728943,-0.0969958608085145,0.0501587698117673
seedlings__precipitation,seedlings,Seedlings,precipitation,disease_cumulative_mortality_pct,-0.0168170655235155,0.0435487670935659,-0.386166283132276,0.699374906173786,-0.102172820171973,0.0685386891249415
seedlings__precipitation,seedlings,Seedlings,precipitation,cumulative_site_CWD_mm,-0.00032768321995635,8.29709036516445e-05,-3.94937508855077,7.8445842422411e-05,-0.000490306517186201,-0.000165059922726499
seedlings__precipitation,seedlings,Seedlings,precipitation,full_survey_period_years,0.324016575994462,0.0610751147259016,5.30521436510783,1.12942834940815e-07,0.204309111108719,0.443724040880204
saplings__precipitation,saplings,Saplings,precipitation,(Intercept),3.03499045510698,0.90006775752191,3.37195775511723,0.000746919136239417,1.27084774840378,4.79913316181017
saplings__precipitation,saplings,Saplings,precipitation,fire_cumulative_mortality_pct,0.107349220785694,0.0850980440380978,1.2614769469629,0.207142892442798,-0.0594438817223286,0.274142323293716
saplings__precipitation,saplings,Saplings,precipitation,insect_cumulative_mortality_pct,-0.120310376839116,0.0523817433482623,-2.29679978459722,0.0216342696703506,-0.222979170071592,-0.0176415836066392
saplings__precipitation,saplings,Saplings,precipitation,disease_cumulative_mortality_pct,0.0560536697231003,0.0551883579447189,1.01567924487349,0.309787024870376,-0.0521161189949802,0.164223458441181
