agent,intervals,zero_intervals,positive_intervals,median_positive,q99,maximum
fire,256231,250095,6136,5.82216240093004,7.28862731142628,39.9905654459524
insect,256231,231670,24561,0.496928571428572,3.17926931699881,25.3113305613306
disease,256231,208090,48141,0.574497910160408,5.29818837259982,32.5019532470398
